Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,1
120,2,0
180,3,0
240,4,0
300,5,0
360,6,0
420,7,0
480,8,0
540,9,0
600,10,0
660,11,0
720,12,0
780,13,0
840,14,0
900,15,0
960,16,1
1020,17,0
1080,18,2
1140,19,4
1200,20,5
1260,21,9
1320,22,9
1380,23,10
1440,0,9
1500,1,9
1560,2,9
1620,3,10
1680,4,12
1740,5,8
1800,6,9
1860,7,9
1920,8,10
1980,9,11
2040,10,9
2100,11,7
2160,12,6
2220,13,7
2280,14,7
2340,15,5
2400,16,4
2460,17,4
2520,18,4
2580,19,7
2640,20,8
2700,21,15
2760,22,16
2820,23,16
2880,0,17
2940,1,20
3000,2,16
3060,3,18
3120,4,21
3180,5,23
3240,6,25
3300,7,24
3360,8,24
3420,9,23
3480,10,22
3540,11,20
3600,12,19
3660,13,19
3720,14,20
3780,15,19
3840,16,19
3900,17,20
3960,18,23
4020,19,21
4080,20,22
4140,21,24
4200,22,26
4260,23,22
4320,0,23
4380,1,23
4440,2,22
4500,3,23
4560,4,23
4620,5,25
4680,6,26
4740,7,26
4800,8,27
4860,9,27
4920,10,26
4980,11,25
5040,12,23
5100,13,21
5160,14,23
5220,15,23
5280,16,23
5340,17,22
5400,18,24
5460,19,25
5520,20,28
5580,21,32
5640,22,31
5700,23,34
5760,0,32
5820,1,34
5880,2,34
5940,3,35
6000,4,35
6060,5,35
6120,6,37
6180,7,35
6240,8,35
6300,9,35
6360,10,33
6420,11,31
6480,12,29
6540,13,32
6600,14,29
6660,15,28
6720,16,29
6780,17,28
6840,18,29
6900,19,26
6960,20,26
7020,21,29
7080,22,31
7140,23,28
7200,0,28
7260,1,27
7320,2,30
7380,3,25
7440,4,29
7500,5,30
7560,6,32
7620,7,30
7680,8,31
7740,9,30
7800,10,28
7860,11,28
7920,12,27
7980,13,24
8040,14,24
8100,15,22
8160,16,22
8220,17,24
8280,18,24
8340,19,28
8400,20,30
8460,21,33
8520,22,35
8580,23,33
8640,0,34
8700,1,34
8760,2,35
8820,3,35
8880,4,38
8940,5,40
9000,6,38
9060,7,41
9120,8,40
9180,9,38
9240,10,37
9300,11,35
9360,12,35
9420,13,35
9480,14,34
9540,15,36
9600,16,36
9660,17,36
9720,18,36
9780,19,38
9840,20,41
9900,21,45
9960,22,48
10020,23,47
10080,0,48
10140,1,50
10200,2,49
10260,3,53
10320,4,54
10380,5,54
10440,6,56
10500,7,58
10560,8,59
10620,9,58
10680,10,57
10740,11,55
10800,12,55
10860,13,56
10920,14,53
10980,15,55
11040,16,55
11100,17,56
11160,18,56
11220,19,58
11280,20,61
11340,21,64
11400,22,68
11460,23,68
11520,0,68
11580,1,67
11640,2,69
11700,3,69
11760,4,72
11820,5,72
11880,6,73
11940,7,75
12000,8,72
12060,9,71
12120,10,70
12180,11,67
12240,12,66
12300,13,65
12360,14,64
12420,15,65
12480,16,65
12540,17,65
12600,18,66
12660,19,68
12720,20,69
12780,21,70
12840,22,72
12900,23,71
12960,0,71
13020,1,72
13080,2,74
13140,3,74
13200,4,77
13260,5,78
13320,6,82
13380,7,83
13440,8,85
13500,9,86
13560,10,85
13620,11,83
13680,12,81
13740,13,81
13800,14,82
13860,15,81
13920,16,81
13980,17,79
14040,18,80
14100,19,82
14160,20,82
14220,21,85
14280,22,88
14340,23,87
14400,0,85
14460,1,85
14520,2,84
14580,3,86
14640,4,87
14700,5,85
14760,6,87
14820,7,87
14880,8,86
14940,9,85
15000,10,84
15060,11,82
15120,12,79
15180,13,79
15240,14,79
15300,15,80
15360,16,79
15420,17,80
15480,18,82
15540,19,83
15600,20,84
15660,21,88
15720,22,90
15780,23,90
15840,0,91
15900,1,93
15960,2,94
16020,3,98
16080,4,99
16140,5,98
16200,6,101
16260,7,101
16320,8,101
16380,9,100
16440,10,98
16500,11,96
16560,12,95
16620,13,94
16680,14,94
16740,15,94
16800,16,93
16860,17,93
16920,18,93
16980,19,93
17040,20,95
17100,21,99
17160,22,100
17220,23,99
17280,0,96
17340,1,95
17400,2,95
17460,3,96
17520,4,98
17580,5,101
17640,6,102
17700,7,103
17760,8,103
17820,9,103
17880,10,101
17940,11,98
18000,12,96
18060,13,99
18120,14,99
18180,15,98
18240,16,99
18300,17,98
18360,18,102
18420,19,102
18480,20,100
18540,21,106
18600,22,109
18660,23,108
18720,0,109
18780,1,110
18840,2,111
18900,3,112
18960,4,111
19020,5,110
19080,6,112
19140,7,114
19200,8,116
19260,9,115
19320,10,114
19380,11,113
19440,12,113
19500,13,112
19560,14,110
19620,15,110
19680,16,111
19740,17,110
19800,18,112
19860,19,114
19920,20,118
19980,21,121
20040,22,123
20100,23,122
20160,0,121
20220,1,122
20280,2,123
20340,3,123
20400,4,124
20460,5,125
20520,6,126
20580,7,128
20640,8,130
20700,9,131
20760,10,129
20820,11,127
20880,12,128
20940,13,129
21000,14,128
21060,15,129
21120,16,129
21180,17,127
21240,18,130
21300,19,129
21360,20,133
21420,21,135
21480,22,136
21540,23,138
