Patient ID,Queue Length,Time
,0,0.0
,1,60.0
,0,120.0
,1,180.0
,1,240.0
,0,300.0
,0,360.0
,0,420.0
,3,480.0
,5,540.0
,7,600.0
,14,660.0
,12,720.0
,19,780.0
,21,840.0
,24,900.0
,33,960.0
,37,1020.0
,37,1080.0
,38,1140.0
,39,1200.0
,38,1260.0
,35,1320.0
,34,1380.0
,36,1440.0
,35,1500.0
,34,1560.0
,35,1620.0
,37,1680.0
,36,1740.0
,35,1800.0
,34,1860.0
,32,1920.0
,34,1980.0
,35,2040.0
,39,2100.0
,42,2160.0
,44,2220.0
,49,2280.0
,54,2340.0
,56,2400.0
,57,2460.0
,57,2520.0
,56,2580.0
,55,2640.0
,53,2700.0
,51,2760.0
,47,2820.0
,48,2880.0
,48,2940.0
,46,3000.0
,44,3060.0
,43,3120.0
,44,3180.0
,43,3240.0
,43,3300.0
,41,3360.0
,40,3420.0
,37,3480.0
,42,3540.0
,47,3600.0
,48,3660.0
,46,3720.0
,49,3780.0
,49,3840.0
,48,3900.0
,53,3960.0
,52,4020.0
,55,4080.0
,52,4140.0
,53,4200.0
,51,4260.0
,47,4320.0
,47,4380.0
,49,4440.0
,50,4500.0
,49,4560.0
,47,4620.0
,48,4680.0
,49,4740.0
,50,4800.0
,48,4860.0
,49,4920.0
,47,4980.0
,53,5040.0
,53,5100.0
,56,5160.0
,55,5220.0
,55,5280.0
,54,5340.0
,59,5400.0
,56,5460.0
,56,5520.0
,55,5580.0
,55,5640.0
,54,5700.0
,53,5760.0
,53,5820.0
,56,5880.0
,56,5940.0
,56,6000.0
,56,6060.0
,57,6120.0
,58,6180.0
,60,6240.0
,60,6300.0
,61,6360.0
,61,6420.0
,65,6480.0
,66,6540.0
,66,6600.0
,64,6660.0
,66,6720.0
,69,6780.0
,66,6840.0
,65,6900.0
,64,6960.0
,67,7020.0
,69,7080.0
,69,7140.0
,73,7200.0
,72,7260.0
,70,7320.0
,71,7380.0
,71,7440.0
,71,7500.0
,69,7560.0
,70,7620.0
,70,7680.0
,69,7740.0
,69,7800.0
,71,7860.0
,76,7920.0
,77,7980.0
,83,8040.0
,86,8100.0
,88,8160.0
,90,8220.0
,90,8280.0
,91,8340.0
,97,8400.0
,97,8460.0
,95,8520.0
,89,8580.0
,87,8640.0
,87,8700.0
,87,8760.0
,87,8820.0
,86,8880.0
,84,8940.0
,84,9000.0
,86,9060.0
,88,9120.0
,87,9180.0
,91,9240.0
,96,9300.0
,98,9360.0
,100,9420.0
,104,9480.0
,103,9540.0
,104,9600.0
,104,9660.0
,105,9720.0
,109,9780.0
,108,9840.0
,109,9900.0
,108,9960.0
,110,10020.0
,108,10080.0
,107,10140.0
,103,10200.0
,103,10260.0
,103,10320.0
,105,10380.0
,104,10440.0
,104,10500.0
,105,10560.0
,105,10620.0
,106,10680.0
,106,10740.0
,105,10800.0
,105,10860.0
,107,10920.0
,109,10980.0
,111,11040.0
,110,11100.0
,111,11160.0
,113,11220.0
,115,11280.0
,115,11340.0
,118,11400.0
,117,11460.0
,121,11520.0
,119,11580.0
,117,11640.0
,116,11700.0
,116,11760.0
,115,11820.0
,112,11880.0
,111,11940.0
,112,12000.0
,112,12060.0
,114,12120.0
,120,12180.0
,123,12240.0
,125,12300.0
,124,12360.0
,131,12420.0
,134,12480.0
,137,12540.0
,142,12600.0
,147,12660.0
,146,12720.0
,143,12780.0
,145,12840.0
,146,12900.0
,144,12960.0
,144,13020.0
,143,13080.0
,142,13140.0
,140,13200.0
,139,13260.0
,140,13320.0
,141,13380.0
,140,13440.0
,142,13500.0
,143,13560.0
,145,13620.0
,150,13680.0
,149,13740.0
,151,13800.0
,152,13860.0
,156,13920.0
,158,13980.0
,164,14040.0
,164,14100.0
,164,14160.0
,160,14220.0
,160,14280.0
,160,14340.0
,162,14400.0
,159,14460.0
,159,14520.0
,162,14580.0
,162,14640.0
,159,14700.0
,160,14760.0
,160,14820.0
,160,14880.0
,162,14940.0
,159,15000.0
,160,15060.0
,166,15120.0
,167,15180.0
,167,15240.0
,167,15300.0
,173,15360.0
,173,15420.0
,173,15480.0
,170,15540.0
,171,15600.0
,166,15660.0
,169,15720.0
,167,15780.0
,166,15840.0
,163,15900.0
,162,15960.0
,160,16020.0
,162,16080.0
,161,16140.0
,161,16200.0
,159,16260.0
,160,16320.0
,159,16380.0
,160,16440.0
,159,16500.0
,162,16560.0
,166,16620.0
,168,16680.0
,169,16740.0
,173,16800.0
,177,16860.0
,183,16920.0
,188,16980.0
,189,17040.0
,193,17100.0
,195,17160.0
,195,17220.0
,192,17280.0
,190,17340.0
,190,17400.0
,190,17460.0
,194,17520.0
,195,17580.0
,196,17640.0
,195,17700.0
,198,17760.0
,194,17820.0
,195,17880.0
,195,17940.0
,193,18000.0
,198,18060.0
,199,18120.0
,201,18180.0
,203,18240.0
,201,18300.0
,202,18360.0
,202,18420.0
,203,18480.0
,201,18540.0
,203,18600.0
,200,18660.0
,200,18720.0
,198,18780.0
,198,18840.0
,198,18900.0
,197,18960.0
,196,19020.0
,194,19080.0
,196,19140.0
,196,19200.0
,196,19260.0
,199,19320.0
,203,19380.0
,204,19440.0
,208,19500.0
,213,19560.0
,211,19620.0
,212,19680.0
,214,19740.0
,212,19800.0
,210,19860.0
,215,19920.0
,214,19980.0
,216,20040.0
,215,20100.0
,215,20160.0
,215,20220.0
,214,20280.0
,213,20340.0
,213,20400.0
,213,20460.0
,214,20520.0
,213,20580.0
,214,20640.0
,216,20700.0
,218,20760.0
,219,20820.0
,222,20880.0
,223,20940.0
,225,21000.0
,229,21060.0
,231,21120.0
,228,21180.0
,231,21240.0
,234,21300.0
,233,21360.0
,235,21420.0
,235,21480.0
,234,21540.0
