hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number,Scenario,DT Threshold
0,0.0,0.0,32.640464742389504,1872.000807012337,3419.873194668781,0.020833333333333332,0.0,768.8906965114592,0.1875,0.16666666666666666,14,alt_dt_0.70,0.7
1,0.0,0.47450763701719834,47.62192321777325,2002.3699563718737,3832.597281094356,0.5128205128205128,0.0,1014.4979893915138,0.15384615384615385,0.15384615384615385,14,alt_dt_0.70,0.7
2,0.0,0.0,33.90363503152912,2344.1800467534395,,0.6190476190476191,0.0,112.1192905510519,0.0,0.0,14,alt_dt_0.70,0.7
3,0.0,0.0,32.40498431702963,1881.7591585168673,4036.7812989281633,0.25,0.0,637.9401699032824,0.125,0.125,14,alt_dt_0.70,0.7
4,0.0,0.0,47.95655088913595,1816.1572618470932,3371.3582642697424,0.375,0.0,708.6056125488967,0.16666666666666666,0.125,14,alt_dt_0.70,0.7
5,0.0,0.0,144.99615737207318,1718.1799893630698,3484.089380434777,0.5806451612903226,0.0,931.4694631268485,0.16129032258064516,0.16129032258064516,14,alt_dt_0.70,0.7
6,0.0,0.0,26.48817124096131,1571.732843630394,3101.4552160627363,0.3888888888888889,0.0,891.0952404917275,0.19444444444444445,0.16666666666666666,14,alt_dt_0.70,0.7
7,0.0,1.1666349059718082,28.925081671581715,1678.207030657097,3564.8174649518214,0.4375,0.4166666666666667,771.6249138089656,0.15625,0.15625,14,alt_dt_0.70,0.7
8,0.0,0.003731199178800024,31.55819962610367,1390.1174916074526,3215.762684902831,0.4166666666666667,0.17592592592592593,682.396151102886,0.14166666666666666,0.13333333333333333,14,alt_dt_0.70,0.7
9,0.0,1.5088700096393808,29.737437147051,1643.2986203580513,3390.419983974947,0.45664739884393063,0.026490066225165563,569.6349753581051,0.13872832369942195,0.09826589595375723,14,alt_dt_0.70,0.7
10,0.0,11.857170775189532,33.780601042380965,1509.749055073261,3147.560787820238,0.45226130653266333,0.011834319526627219,648.422773521706,0.135678391959799,0.12060301507537688,14,alt_dt_0.70,0.7
11,0.0,27.945193441063424,56.47161440309183,1550.8234958756298,3357.5337933155383,0.43243243243243246,0.030864197530864196,738.0272254680161,0.1891891891891892,0.14594594594594595,14,alt_dt_0.70,0.7
12,0.0,18.404544040411395,31.34395829558495,1808.9885405294017,3502.6402558653294,0.41089108910891087,0.023668639053254437,500.8483430285602,0.10891089108910891,0.07920792079207921,14,alt_dt_0.70,0.7
13,0.0,15.8329010307715,75.65448592386456,1424.1974029541477,2803.2625462561487,0.44021739130434784,0.03896103896103896,561.0475844580238,0.125,0.10326086956521739,14,alt_dt_0.70,0.7
14,0.0,8.885988173027663,66.72008668361525,1610.1059601422012,3535.844613784416,0.46875,0.028985507246376812,846.4563494317231,0.16875,0.1625,14,alt_dt_0.70,0.7
15,0.0,14.618980128532264,33.166611782505925,1708.6915341627796,3342.4556646441333,0.34615384615384615,0.01935483870967742,827.2330708847106,0.1813186813186813,0.13736263736263737,14,alt_dt_0.70,0.7
16,0.0,5.2620586573872075,43.35661188583223,1720.7508156159681,3386.6080284313425,0.3873239436619718,0.032520325203252036,662.7926542691171,0.13380281690140844,0.11267605633802817,14,alt_dt_0.70,0.7
17,0.0,2.1661612287895515,21.767630676074987,1772.1824061983054,3125.720007054115,0.41875,0.022222222222222223,820.2301436087731,0.15,0.1375,14,alt_dt_0.70,0.7
18,0.0,1.3622948259337135,58.78406155355658,2062.975577541704,3236.7798243374327,0.42483660130718953,0.0,339.7089193285724,0.06535947712418301,0.05228758169934641,14,alt_dt_0.70,0.7
19,0.0,7.078027970689088,57.614240457268735,1876.162635667888,3859.149043918844,0.391304347826087,0.0,737.3395315118335,0.13664596273291926,0.12422360248447205,14,alt_dt_0.70,0.7
20,0.0,7.037987488594497,31.21205622935565,2054.8790319200966,3688.7894538211694,0.40559440559440557,0.0,524.0049228862082,0.1048951048951049,0.07692307692307693,14,alt_dt_0.70,0.7
21,0.0,1.7247284879253078,22.2022468066623,2064.608147914234,3763.61921797625,0.36792452830188677,0.0,673.1722169344617,0.10377358490566038,0.10377358490566038,14,alt_dt_0.70,0.7
22,0.0,0.0,30.93234031491652,1960.2334230155034,3479.0128968184263,0.5555555555555556,0.0,776.4912251457937,0.16049382716049382,0.13580246913580246,14,alt_dt_0.70,0.7
23,0.0,0.17144948212866284,8.73767710735433,1507.394286594363,3037.9867132088766,0.4,0.0,633.8840391096877,0.11666666666666667,0.1,14,alt_dt_0.70,0.7
