Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,0
240,4,0
300,5,1
360,6,0
420,7,0
480,8,0
540,9,0
600,10,0
660,11,0
720,12,1
780,13,3
840,14,2
900,15,3
960,16,4
1020,17,3
1080,18,4
1140,19,4
1200,20,2
1260,21,6
1320,22,10
1380,23,9
1440,0,10
1500,1,9
1560,2,10
1620,3,12
1680,4,10
1740,5,13
1800,6,9
1860,7,11
1920,8,11
1980,9,11
2040,10,11
2100,11,9
2160,12,10
2220,13,11
2280,14,10
2340,15,8
2400,16,10
2460,17,11
2520,18,12
2580,19,11
2640,20,13
2700,21,16
2760,22,15
2820,23,13
2880,0,12
2940,1,11
3000,2,13
3060,3,12
3120,4,15
3180,5,16
3240,6,18
3300,7,15
3360,8,18
3420,9,17
3480,10,17
3540,11,14
3600,12,16
3660,13,18
3720,14,19
3780,15,17
3840,16,17
3900,17,19
3960,18,18
4020,19,19
4080,20,22
4140,21,27
4200,22,28
4260,23,28
4320,0,24
4380,1,25
4440,2,22
4500,3,26
4560,4,26
4620,5,27
4680,6,27
4740,7,26
4800,8,27
4860,9,28
4920,10,27
4980,11,25
5040,12,25
5100,13,28
5160,14,27
5220,15,28
5280,16,27
5340,17,26
5400,18,27
5460,19,26
5520,20,28
5580,21,31
5640,22,31
5700,23,32
5760,0,27
5820,1,27
5880,2,29
5940,3,27
6000,4,29
6060,5,28
6120,6,30
6180,7,29
6240,8,30
6300,9,32
6360,10,29
6420,11,29
6480,12,29
6540,13,28
6600,14,27
6660,15,27
6720,16,26
6780,17,26
6840,18,26
6900,19,30
6960,20,32
7020,21,32
7080,22,33
7140,23,32
7200,0,32
7260,1,29
7320,2,30
7380,3,28
7440,4,30
7500,5,31
7560,6,33
7620,7,33
7680,8,35
7740,9,34
7800,10,34
7860,11,33
7920,12,31
7980,13,33
8040,14,31
8100,15,30
8160,16,29
8220,17,28
8280,18,31
8340,19,30
8400,20,33
8460,21,35
8520,22,37
8580,23,38
8640,0,37
8700,1,36
8760,2,36
8820,3,38
8880,4,41
8940,5,43
9000,6,44
9060,7,45
9120,8,48
9180,9,48
9240,10,46
9300,11,46
9360,12,46
9420,13,46
9480,14,46
9540,15,48
9600,16,47
9660,17,46
9720,18,47
9780,19,49
9840,20,50
9900,21,51
9960,22,51
10020,23,52
10080,0,53
10140,1,56
10200,2,57
10260,3,58
10320,4,59
10380,5,60
10440,6,60
10500,7,60
10560,8,61
10620,9,61
10680,10,61
10740,11,58
10800,12,58
10860,13,56
10920,14,57
10980,15,57
11040,16,58
11100,17,58
11160,18,58
11220,19,59
11280,20,63
11340,21,66
11400,22,69
11460,23,68
11520,0,69
11580,1,67
11640,2,67
11700,3,67
11760,4,69
11820,5,71
11880,6,71
11940,7,74
12000,8,76
12060,9,78
12120,10,76
12180,11,73
12240,12,72
12300,13,72
12360,14,70
12420,15,70
12480,16,70
12540,17,69
12600,18,68
12660,19,68
12720,20,72
12780,21,75
12840,22,73
12900,23,71
12960,0,72
13020,1,73
13080,2,75
13140,3,75
13200,4,75
13260,5,75
13320,6,77
13380,7,77
13440,8,76
13500,9,75
13560,10,68
13620,11,67
13680,12,66
13740,13,66
13800,14,65
13860,15,67
13920,16,64
13980,17,65
14040,18,67
14100,19,68
14160,20,71
14220,21,72
14280,22,74
14340,23,67
14400,0,69
14460,1,69
14520,2,70
14580,3,70
14640,4,69
14700,5,71
14760,6,72
14820,7,75
14880,8,74
14940,9,73
15000,10,71
15060,11,69
15120,12,68
15180,13,69
15240,14,67
15300,15,68
15360,16,68
15420,17,68
15480,18,71
15540,19,76
15600,20,80
15660,21,82
15720,22,81
15780,23,79
15840,0,79
15900,1,77
15960,2,79
16020,3,78
16080,4,81
16140,5,83
16200,6,84
16260,7,87
16320,8,86
16380,9,86
16440,10,85
16500,11,84
16560,12,86
16620,13,87
16680,14,87
16740,15,86
16800,16,85
16860,17,85
16920,18,86
16980,19,89
17040,20,90
17100,21,94
17160,22,96
17220,23,95
17280,0,96
17340,1,97
17400,2,97
17460,3,97
17520,4,100
17580,5,98
17640,6,100
17700,7,99
17760,8,100
17820,9,98
17880,10,97
17940,11,96
18000,12,94
18060,13,95
18120,14,96
18180,15,97
18240,16,97
18300,17,97
18360,18,100
18420,19,103
18480,20,105
18540,21,104
18600,22,104
18660,23,105
18720,0,105
18780,1,103
18840,2,103
18900,3,102
18960,4,105
19020,5,106
19080,6,107
19140,7,107
19200,8,107
19260,9,105
19320,10,105
19380,11,101
19440,12,101
19500,13,102
19560,14,102
19620,15,100
19680,16,100
19740,17,102
19800,18,103
19860,19,103
19920,20,105
19980,21,111
20040,22,113
20100,23,112
20160,0,109
20220,1,111
20280,2,111
20340,3,111
20400,4,112
20460,5,114
20520,6,112
20580,7,113
20640,8,116
20700,9,116
20760,10,114
20820,11,112
20880,12,114
20940,13,115
21000,14,116
21060,15,117
21120,16,116
21180,17,116
21240,18,115
21300,19,115
21360,20,117
21420,21,117
21480,22,118
21540,23,115
