Patient ID,Queue Length,Time
,0,0.0
,0,60.0
,0,120.0
,0,180.0
,0,240.0
,0,300.0
,0,360.0
,0,420.0
,0,480.0
,0,540.0
,2,600.0
,6,660.0
,7,720.0
,10,780.0
,16,840.0
,17,900.0
,18,960.0
,17,1020.0
,22,1080.0
,25,1140.0
,27,1200.0
,28,1260.0
,29,1320.0
,29,1380.0
,25,1440.0
,24,1500.0
,24,1560.0
,23,1620.0
,23,1680.0
,21,1740.0
,22,1800.0
,21,1860.0
,21,1920.0
,24,1980.0
,30,2040.0
,30,2100.0
,32,2160.0
,32,2220.0
,31,2280.0
,36,2340.0
,37,2400.0
,32,2460.0
,35,2520.0
,37,2580.0
,40,2640.0
,44,2700.0
,44,2760.0
,43,2820.0
,42,2880.0
,40,2940.0
,35,3000.0
,35,3060.0
,35,3120.0
,33,3180.0
,34,3240.0
,34,3300.0
,35,3360.0
,34,3420.0
,33,3480.0
,32,3540.0
,31,3600.0
,29,3660.0
,28,3720.0
,29,3780.0
,30,3840.0
,27,3900.0
,29,3960.0
,30,4020.0
,30,4080.0
,29,4140.0
,29,4200.0
,28,4260.0
,28,4320.0
,30,4380.0
,26,4440.0
,25,4500.0
,22,4560.0
,23,4620.0
,21,4680.0
,20,4740.0
,18,4800.0
,19,4860.0
,21,4920.0
,23,4980.0
,24,5040.0
,26,5100.0
,23,5160.0
,26,5220.0
,24,5280.0
,25,5340.0
,23,5400.0
,20,5460.0
,22,5520.0
,23,5580.0
,26,5640.0
,26,5700.0
,26,5760.0
,24,5820.0
,20,5880.0
,15,5940.0
,14,6000.0
,13,6060.0
,14,6120.0
,15,6180.0
,16,6240.0
,18,6300.0
,15,6360.0
,13,6420.0
,16,6480.0
,15,6540.0
,17,6600.0
,23,6660.0
,20,6720.0
,19,6780.0
,18,6840.0
,19,6900.0
,15,6960.0
,14,7020.0
,14,7080.0
,14,7140.0
,13,7200.0
,12,7260.0
,12,7320.0
,10,7380.0
,10,7440.0
,7,7500.0
,8,7560.0
,6,7620.0
,7,7680.0
,8,7740.0
,14,7800.0
,11,7860.0
,17,7920.0
,16,7980.0
,19,8040.0
,19,8100.0
,22,8160.0
,28,8220.0
,29,8280.0
,30,8340.0
,27,8400.0
,28,8460.0
,27,8520.0
,27,8580.0
,29,8640.0
,26,8700.0
,26,8760.0
,24,8820.0
,23,8880.0
,23,8940.0
,21,9000.0
,22,9060.0
,22,9120.0
,26,9180.0
,25,9240.0
,30,9300.0
,34,9360.0
,36,9420.0
,38,9480.0
,43,9540.0
,43,9600.0
,42,9660.0
,38,9720.0
,41,9780.0
,40,9840.0
,39,9900.0
,40,9960.0
,41,10020.0
,42,10080.0
,42,10140.0
,42,10200.0
,39,10260.0
,37,10320.0
,37,10380.0
,36,10440.0
,38,10500.0
,43,10560.0
,46,10620.0
,53,10680.0
,53,10740.0
,53,10800.0
,56,10860.0
,61,10920.0
,61,10980.0
,59,11040.0
,56,11100.0
,57,11160.0
,57,11220.0
,58,11280.0
,61,11340.0
,62,11400.0
,64,11460.0
,67,11520.0
,71,11580.0
,70,11640.0
,72,11700.0
,70,11760.0
,70,11820.0
,69,11880.0
,70,11940.0
,69,12000.0
,68,12060.0
,70,12120.0
,77,12180.0
,79,12240.0
,77,12300.0
,79,12360.0
,81,12420.0
,82,12480.0
,83,12540.0
,87,12600.0
,89,12660.0
,90,12720.0
,89,12780.0
,88,12840.0
,88,12900.0
,89,12960.0
,90,13020.0
,91,13080.0
,88,13140.0
,87,13200.0
,86,13260.0
,84,13320.0
,85,13380.0
,86,13440.0
,86,13500.0
,84,13560.0
,91,13620.0
,92,13680.0
,96,13740.0
,100,13800.0
,103,13860.0
,104,13920.0
,100,13980.0
,103,14040.0
,102,14100.0
,99,14160.0
,101,14220.0
,96,14280.0
,96,14340.0
,96,14400.0
,91,14460.0
,89,14520.0
,91,14580.0
,89,14640.0
,89,14700.0
,88,14760.0
,86,14820.0
,82,14880.0
,83,14940.0
,84,15000.0
,94,15060.0
,98,15120.0
,99,15180.0
,98,15240.0
,104,15300.0
,103,15360.0
,106,15420.0
,106,15480.0
,107,15540.0
,104,15600.0
,108,15660.0
,115,15720.0
,113,15780.0
,114,15840.0
,112,15900.0
,113,15960.0
,114,16020.0
,113,16080.0
,113,16140.0
,114,16200.0
,111,16260.0
,111,16320.0
,111,16380.0
,117,16440.0
,122,16500.0
,128,16560.0
,131,16620.0
,132,16680.0
,133,16740.0
,132,16800.0
,132,16860.0
,136,16920.0
,135,16980.0
,132,17040.0
,132,17100.0
,135,17160.0
,136,17220.0
,135,17280.0
,133,17340.0
,133,17400.0
,129,17460.0
,129,17520.0
,127,17580.0
,126,17640.0
,127,17700.0
,127,17760.0
,127,17820.0
,127,17880.0
,128,17940.0
,131,18000.0
,134,18060.0
,140,18120.0
,140,18180.0
,139,18240.0
,142,18300.0
,147,18360.0
,144,18420.0
,144,18480.0
,141,18540.0
,139,18600.0
,134,18660.0
,135,18720.0
,134,18780.0
,134,18840.0
,131,18900.0
,133,18960.0
,135,19020.0
,135,19080.0
,137,19140.0
,136,19200.0
,133,19260.0
,135,19320.0
,139,19380.0
,143,19440.0
,145,19500.0
,148,19560.0
,151,19620.0
,150,19680.0
,147,19740.0
,147,19800.0
,149,19860.0
,150,19920.0
,149,19980.0
,149,20040.0
,152,20100.0
,150,20160.0
,150,20220.0
,150,20280.0
,150,20340.0
,150,20400.0
,149,20460.0
,150,20520.0
,148,20580.0
,150,20640.0
,152,20700.0
,153,20760.0
,153,20820.0
,157,20880.0
,164,20940.0
,165,21000.0
,170,21060.0
,170,21120.0
,172,21180.0
,174,21240.0
,172,21300.0
,173,21360.0
,179,21420.0
,180,21480.0
,174,21540.0
