hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number,Scenario,DT Threshold
0,0.0,0.0,33.7989503068465,1293.95416085367,2283.9859599242636,0.017857142857142856,0.0,579.5862472875175,0.19642857142857142,0.17857142857142858,22,alt_dt_0.70,0.7
1,0.0,0.3088216803609759,40.72007170646132,1316.3244778608855,2354.64099720025,0.375,0.0,555.260345865911,0.16666666666666666,0.16666666666666666,22,alt_dt_0.70,0.7
2,0.0,0.0,22.313641495375123,1327.775162131503,2473.68562242123,0.4857142857142857,0.0,514.916856671178,0.14285714285714285,0.14285714285714285,22,alt_dt_0.70,0.7
3,0.0,0.0,48.632695760736716,1260.8700533277888,2089.9543250051897,0.36,0.0,880.6636425909641,0.32,0.32,22,alt_dt_0.70,0.7
4,0.0,0.0,12.445843233749352,1269.9829481112408,2556.908116151652,0.41379310344827586,0.0,363.46474965296716,0.10344827586206896,0.10344827586206896,22,alt_dt_0.70,0.7
5,0.0,0.0,14.817129215915338,1040.7579756094142,1535.7204964964185,0.48484848484848486,0.0,384.6194921549503,0.18181818181818182,0.15151515151515152,22,alt_dt_0.70,0.7
6,0.0,0.0,55.539126932978185,1265.2556347748662,1542.5048487480176,0.2708333333333333,0.0,353.2286989964908,0.14583333333333334,0.10416666666666667,22,alt_dt_0.70,0.7
7,0.0,1.4473542095569831,53.68460706575135,930.4220263793991,1658.0184728652291,0.42857142857142855,0.3888888888888889,361.18219732081957,0.16883116883116883,0.14285714285714285,22,alt_dt_0.70,0.7
8,0.0,0.2459109059299851,48.550035865313326,1055.4823391508023,1616.4396698307587,0.45217391304347826,0.18518518518518517,377.1363931389766,0.1391304347826087,0.1391304347826087,22,alt_dt_0.70,0.7
9,0.0,0.08136589717903066,27.71791660609696,1016.0773575763176,1911.2038941805556,0.5031847133757962,0.043795620437956206,523.8561359541461,0.17834394904458598,0.17197452229299362,22,alt_dt_0.70,0.7
10,0.0,3.982653480784662,31.34883707749073,1279.310262246988,2106.1762451444183,0.35678391959798994,0.03636363636363636,666.5652664996836,0.21105527638190955,0.18592964824120603,22,alt_dt_0.70,0.7
11,0.0,10.30051729670572,44.202102995957944,1282.269140779466,2214.9315241142804,0.3567251461988304,0.027586206896551724,435.15953455575305,0.15204678362573099,0.09941520467836257,22,alt_dt_0.70,0.7
12,0.0,4.46670360962841,38.92279660720139,1305.5519187562136,2108.9643304860447,0.4098360655737705,0.03289473684210526,473.1505890902542,0.1366120218579235,0.12021857923497267,22,alt_dt_0.70,0.7
13,0.0,2.463088876125312,16.689655203784913,1384.8490153550506,2418.3035393604027,0.3793103448275862,0.013513513513513514,534.9033720644545,0.14942528735632185,0.13218390804597702,22,alt_dt_0.70,0.7
14,0.0,0.0,27.562794520944816,1293.203212485937,2402.8426666454743,0.3422818791946309,0.015748031496062992,522.0403305357172,0.15436241610738255,0.1476510067114094,22,alt_dt_0.70,0.7
15,0.0,5.506545297228269,45.234830187547075,1483.6907879223259,2686.142475997614,0.3875,0.022058823529411766,535.503059448785,0.1375,0.11875,22,alt_dt_0.70,0.7
16,0.0,1.394832998127891,49.43777046190637,1456.6649441617785,2561.28623531418,0.44571428571428573,0.07092198581560284,493.34099573230003,0.13714285714285715,0.12,22,alt_dt_0.70,0.7
17,0.0,0.35614678946245754,21.526440755664645,1428.5167137129167,2606.769731007629,0.44516129032258067,0.014925373134328358,494.333724439807,0.13548387096774195,0.12258064516129032,22,alt_dt_0.70,0.7
18,0.0,1.4585555365379237,32.966531526996995,1367.950139576161,2418.8036109796817,0.4,0.0,453.56613541953334,0.1125,0.1125,22,alt_dt_0.70,0.7
19,0.0,4.769118324451919,46.62924409218379,1428.2705796504067,2619.773872337358,0.3961038961038961,0.0,506.43833519480506,0.15584415584415584,0.12987012987012986,22,alt_dt_0.70,0.7
20,0.0,7.629095139943315,38.04713520310348,1411.3562620747368,2875.044476829292,0.4409937888198758,0.0,609.8306383004436,0.14906832298136646,0.14285714285714285,22,alt_dt_0.70,0.7
21,0.0,2.070812319077242,30.884187835916908,1517.6738862231043,3145.1496047313344,0.4574468085106383,0.0,660.1124548381823,0.14893617021276595,0.13829787234042554,22,alt_dt_0.70,0.7
22,0.0,0.0,8.96341390786938,1376.2656571560074,2414.7252437296097,0.3013698630136986,0.0,529.4751474595694,0.136986301369863,0.1232876712328767,22,alt_dt_0.70,0.7
23,0.0,0.7549681734882965,16.903292074462115,1369.7909051782626,2346.615275726482,0.39655172413793105,0.0,421.99972141869785,0.10344827586206896,0.10344827586206896,22,alt_dt_0.70,0.7
