Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,0
240,4,0
300,5,0
360,6,0
420,7,0
480,8,0
540,9,0
600,10,0
660,11,0
720,12,0
780,13,1
840,14,0
900,15,1
960,16,0
1020,17,0
1080,18,1
1140,19,2
1200,20,1
1260,21,4
1320,22,4
1380,23,5
1440,0,4
1500,1,2
1560,2,3
1620,3,2
1680,4,3
1740,5,2
1800,6,3
1860,7,4
1920,8,3
1980,9,3
2040,10,3
2100,11,1
2160,12,2
2220,13,2
2280,14,0
2340,15,0
2400,16,0
2460,17,0
2520,18,1
2580,19,1
2640,20,1
2700,21,4
2760,22,5
2820,23,4
2880,0,3
2940,1,3
3000,2,6
3060,3,2
3120,4,4
3180,5,4
3240,6,4
3300,7,4
3360,8,6
3420,9,6
3480,10,3
3540,11,0
3600,12,0
3660,13,0
3720,14,1
3780,15,2
3840,16,1
3900,17,2
3960,18,3
4020,19,3
4080,20,4
4140,21,9
4200,22,11
4260,23,9
4320,0,8
4380,1,7
4440,2,9
4500,3,7
4560,4,6
4620,5,7
4680,6,7
4740,7,8
4800,8,9
4860,9,9
4920,10,7
4980,11,5
5040,12,2
5100,13,4
5160,14,5
5220,15,7
5280,16,6
5340,17,3
5400,18,3
5460,19,7
5520,20,6
5580,21,8
5640,22,8
5700,23,8
5760,0,8
5820,1,7
5880,2,9
5940,3,7
6000,4,8
6060,5,4
6120,6,6
6180,7,6
6240,8,5
6300,9,5
6360,10,3
6420,11,1
6480,12,2
6540,13,1
6600,14,1
6660,15,3
6720,16,6
6780,17,3
6840,18,4
6900,19,5
6960,20,6
7020,21,8
7080,22,3
7140,23,4
7200,0,2
7260,1,2
7320,2,2
7380,3,4
7440,4,7
7500,5,6
7560,6,6
7620,7,4
7680,8,2
7740,9,1
7800,10,0
7860,11,1
7920,12,1
7980,13,1
8040,14,0
8100,15,0
8160,16,0
8220,17,0
8280,18,1
8340,19,1
8400,20,3
8460,21,6
8520,22,9
8580,23,8
8640,0,9
8700,1,13
8760,2,13
8820,3,5
8880,4,5
8940,5,6
9000,6,7
9060,7,7
9120,8,6
9180,9,6
9240,10,4
9300,11,2
9360,12,2
9420,13,0
9480,14,0
9540,15,0
9600,16,0
9660,17,0
9720,18,2
9780,19,4
9840,20,7
9900,21,10
9960,22,13
10020,23,12
10080,0,14
10140,1,14
10200,2,17
10260,3,16
10320,4,20
10380,5,21
10440,6,22
10500,7,23
10560,8,24
10620,9,24
10680,10,23
10740,11,20
10800,12,21
10860,13,20
10920,14,20
10980,15,19
11040,16,20
11100,17,19
11160,18,23
11220,19,23
11280,20,23
11340,21,27
11400,22,28
11460,23,28
11520,0,28
11580,1,28
11640,2,30
11700,3,30
11760,4,33
11820,5,31
11880,6,34
11940,7,34
12000,8,33
12060,9,33
12120,10,32
12180,11,31
12240,12,30
12300,13,31
12360,14,30
12420,15,30
12480,16,29
12540,17,28
12600,18,29
12660,19,29
12720,20,29
12780,21,30
12840,22,31
12900,23,32
12960,0,32
13020,1,32
13080,2,33
13140,3,33
13200,4,32
13260,5,33
13320,6,32
13380,7,32
13440,8,31
13500,9,30
13560,10,29
13620,11,27
13680,12,28
13740,13,29
13800,14,30
13860,15,29
13920,16,29
13980,17,29
14040,18,29
14100,19,30
14160,20,32
14220,21,32
14280,22,33
14340,23,32
14400,0,33
14460,1,30
14520,2,32
14580,3,30
14640,4,32
14700,5,32
14760,6,33
14820,7,35
14880,8,34
14940,9,32
15000,10,32
15060,11,30
15120,12,28
15180,13,31
15240,14,28
15300,15,27
15360,16,29
15420,17,27
15480,18,30
15540,19,32
15600,20,31
15660,21,33
15720,22,35
15780,23,34
15840,0,34
15900,1,36
15960,2,37
16020,3,38
16080,4,40
16140,5,44
16200,6,44
16260,7,40
16320,8,41
16380,9,41
16440,10,40
16500,11,39
16560,12,40
16620,13,38
16680,14,38
16740,15,39
16800,16,39
16860,17,38
16920,18,38
16980,19,40
17040,20,42
17100,21,46
17160,22,49
17220,23,45
17280,0,45
17340,1,45
17400,2,45
17460,3,43
17520,4,43
17580,5,41
17640,6,44
17700,7,45
17760,8,47
17820,9,46
17880,10,45
17940,11,46
18000,12,45
18060,13,44
18120,14,44
18180,15,44
18240,16,44
18300,17,44
18360,18,47
18420,19,51
18480,20,52
18540,21,53
18600,22,57
18660,23,53
18720,0,57
18780,1,57
18840,2,57
18900,3,57
18960,4,52
19020,5,54
19080,6,55
19140,7,57
19200,8,58
19260,9,58
19320,10,56
19380,11,54
19440,12,56
19500,13,56
19560,14,58
19620,15,58
19680,16,57
19740,17,56
19800,18,59
19860,19,61
19920,20,60
19980,21,63
20040,22,66
20100,23,64
20160,0,66
20220,1,70
20280,2,67
20340,3,68
20400,4,68
20460,5,68
20520,6,69
20580,7,69
20640,8,69
20700,9,68
20760,10,67
20820,11,66
20880,12,66
20940,13,67
21000,14,67
21060,15,68
21120,16,68
21180,17,69
21240,18,69
21300,19,72
21360,20,73
21420,21,77
21480,22,79
21540,23,78
