Patient ID,Queue Length,Time
,0,0.0
,0,60.0
,1,120.0
,1,180.0
,2,240.0
,3,300.0
,4,360.0
,4,420.0
,3,480.0
,4,540.0
,6,600.0
,6,660.0
,8,720.0
,12,780.0
,16,840.0
,18,900.0
,19,960.0
,20,1020.0
,22,1080.0
,22,1140.0
,25,1200.0
,27,1260.0
,26,1320.0
,26,1380.0
,25,1440.0
,26,1500.0
,27,1560.0
,26,1620.0
,23,1680.0
,24,1740.0
,23,1800.0
,22,1860.0
,22,1920.0
,23,1980.0
,24,2040.0
,29,2100.0
,34,2160.0
,38,2220.0
,44,2280.0
,41,2340.0
,41,2400.0
,44,2460.0
,42,2520.0
,43,2580.0
,43,2640.0
,44,2700.0
,44,2760.0
,46,2820.0
,44,2880.0
,44,2940.0
,44,3000.0
,46,3060.0
,46,3120.0
,45,3180.0
,45,3240.0
,42,3300.0
,39,3360.0
,38,3420.0
,37,3480.0
,36,3540.0
,39,3600.0
,40,3660.0
,43,3720.0
,46,3780.0
,45,3840.0
,47,3900.0
,50,3960.0
,50,4020.0
,51,4080.0
,49,4140.0
,49,4200.0
,44,4260.0
,43,4320.0
,39,4380.0
,42,4440.0
,39,4500.0
,36,4560.0
,36,4620.0
,32,4680.0
,32,4740.0
,32,4800.0
,35,4860.0
,38,4920.0
,36,4980.0
,36,5040.0
,36,5100.0
,39,5160.0
,42,5220.0
,43,5280.0
,47,5340.0
,51,5400.0
,50,5460.0
,51,5520.0
,47,5580.0
,49,5640.0
,50,5700.0
,49,5760.0
,49,5820.0
,49,5880.0
,49,5940.0
,45,6000.0
,46,6060.0
,45,6120.0
,43,6180.0
,43,6240.0
,42,6300.0
,50,6360.0
,55,6420.0
,56,6480.0
,58,6540.0
,62,6600.0
,69,6660.0
,69,6720.0
,67,6780.0
,67,6840.0
,68,6900.0
,70,6960.0
,68,7020.0
,67,7080.0
,66,7140.0
,68,7200.0
,68,7260.0
,66,7320.0
,64,7380.0
,63,7440.0
,64,7500.0
,64,7560.0
,65,7620.0
,68,7680.0
,70,7740.0
,72,7800.0
,73,7860.0
,71,7920.0
,71,7980.0
,73,8040.0
,76,8100.0
,79,8160.0
,81,8220.0
,78,8280.0
,82,8340.0
,81,8400.0
,84,8460.0
,85,8520.0
,86,8580.0
,85,8640.0
,84,8700.0
,81,8760.0
,81,8820.0
,79,8880.0
,79,8940.0
,80,9000.0
,80,9060.0
,82,9120.0
,86,9180.0
,88,9240.0
,92,9300.0
,94,9360.0
,96,9420.0
,98,9480.0
,98,9540.0
,106,9600.0
,107,9660.0
,110,9720.0
,111,9780.0
,108,9840.0
,116,9900.0
,116,9960.0
,118,10020.0
,118,10080.0
,119,10140.0
,119,10200.0
,118,10260.0
,116,10320.0
,114,10380.0
,112,10440.0
,113,10500.0
,111,10560.0
,109,10620.0
,116,10680.0
,121,10740.0
,125,10800.0
,126,10860.0
,133,10920.0
,133,10980.0
,134,11040.0
,138,11100.0
,142,11160.0
,141,11220.0
,141,11280.0
,142,11340.0
,143,11400.0
,140,11460.0
,139,11520.0
,135,11580.0
,135,11640.0
,136,11700.0
,137,11760.0
,137,11820.0
,134,11880.0
,134,11940.0
,132,12000.0
,134,12060.0
,134,12120.0
,135,12180.0
,134,12240.0
,138,12300.0
,143,12360.0
,146,12420.0
,144,12480.0
,148,12540.0
,148,12600.0
,147,12660.0
,141,12720.0
,144,12780.0
,141,12840.0
,140,12900.0
,137,12960.0
,136,13020.0
,137,13080.0
,138,13140.0
,136,13200.0
,134,13260.0
,135,13320.0
,134,13380.0
,132,13440.0
,131,13500.0
,134,13560.0
,135,13620.0
,135,13680.0
,131,13740.0
,135,13800.0
,137,13860.0
,145,13920.0
,147,13980.0
,151,14040.0
,151,14100.0
,153,14160.0
,155,14220.0
,158,14280.0
,156,14340.0
,154,14400.0
,152,14460.0
,151,14520.0
,152,14580.0
,154,14640.0
,153,14700.0
,153,14760.0
,154,14820.0
,151,14880.0
,148,14940.0
,151,15000.0
,157,15060.0
,163,15120.0
,166,15180.0
,170,15240.0
,176,15300.0
,173,15360.0
,172,15420.0
,177,15480.0
,177,15540.0
,177,15600.0
,175,15660.0
,173,15720.0
,168,15780.0
,163,15840.0
,164,15900.0
,161,15960.0
,157,16020.0
,157,16080.0
,159,16140.0
,161,16200.0
,159,16260.0
,158,16320.0
,156,16380.0
,155,16440.0
,159,16500.0
,161,16560.0
,166,16620.0
,167,16680.0
,162,16740.0
,165,16800.0
,162,16860.0
,165,16920.0
,167,16980.0
,166,17040.0
,166,17100.0
,163,17160.0
,161,17220.0
,159,17280.0
,157,17340.0
,157,17400.0
,152,17460.0
,152,17520.0
,152,17580.0
,150,17640.0
,150,17700.0
,150,17760.0
,149,17820.0
,150,17880.0
,152,17940.0
,152,18000.0
,158,18060.0
,162,18120.0
,165,18180.0
,166,18240.0
,167,18300.0
,168,18360.0
,166,18420.0
,164,18480.0
,164,18540.0
,162,18600.0
,162,18660.0
,164,18720.0
,163,18780.0
,162,18840.0
,164,18900.0
,164,18960.0
,163,19020.0
,164,19080.0
,164,19140.0
,161,19200.0
,161,19260.0
,164,19320.0
,167,19380.0
,169,19440.0
,170,19500.0
,171,19560.0
,172,19620.0
,173,19680.0
,174,19740.0
,176,19800.0
,174,19860.0
,176,19920.0
,176,19980.0
,177,20040.0
,176,20100.0
,173,20160.0
,173,20220.0
,170,20280.0
,166,20340.0
,166,20400.0
,167,20460.0
,167,20520.0
,166,20580.0
,167,20640.0
,168,20700.0
,169,20760.0
,172,20820.0
,174,20880.0
,177,20940.0
,182,21000.0
,187,21060.0
,189,21120.0
,189,21180.0
,194,21240.0
,195,21300.0
,194,21360.0
,198,21420.0
,196,21480.0
,196,21540.0
