hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number,Scenario,DT Threshold
0,0.0,0.0,38.0142036381383,1840.558307493609,3233.602477520885,0.022727272727272728,0.0,663.2265903797775,0.1590909090909091,0.13636363636363635,21,alt_dt_0.70,0.7
1,0.0,0.17809536722635474,12.127514507734608,1993.7086491926193,4489.867709076063,0.3902439024390244,0.0,725.9494327614728,0.14634146341463414,0.12195121951219512,21,alt_dt_0.70,0.7
2,0.0,0.0,30.757190742532355,1934.8450461396865,2833.2797051355606,0.375,0.0,535.6866797774412,0.15,0.125,21,alt_dt_0.70,0.7
3,0.0,0.21873767190931281,58.29226906450666,2002.4604895148823,3142.2408501661134,0.55,0.0,483.4714803652211,0.125,0.1,21,alt_dt_0.70,0.7
4,0.0,0.15520779974742088,43.35356734290308,1308.970701821484,1782.4063877954702,0.5161290322580645,0.0,783.6094772807575,0.25806451612903225,0.25806451612903225,21,alt_dt_0.70,0.7
5,0.0,0.0,79.20784653507525,1702.4855798341582,2185.4524944100167,0.3333333333333333,0.0,747.9106173488483,0.19444444444444445,0.1388888888888889,21,alt_dt_0.70,0.7
6,0.0,0.0,48.71417754377183,1628.622220484242,2966.1872997649734,0.35714285714285715,0.0,818.8726978231161,0.19047619047619047,0.19047619047619047,21,alt_dt_0.70,0.7
7,0.0,1.8514565435310468,19.24895389827557,1283.512796488145,2561.5853630185193,0.2692307692307692,0.2826086956521739,667.1519543056979,0.19230769230769232,0.19230769230769232,21,alt_dt_0.70,0.7
8,0.0,0.0,40.572949675971735,1847.8585651108224,3298.5816241773537,0.4017857142857143,0.2358490566037736,437.31295499976966,0.09821428571428571,0.08035714285714286,21,alt_dt_0.70,0.7
9,0.0,3.090612915853496,42.6913294112685,1507.7820916178928,2774.3261582829423,0.3941176470588235,0.05844155844155844,748.6049961986969,0.2,0.18235294117647058,21,alt_dt_0.70,0.7
10,0.0,12.631762845801058,30.498604849214512,1675.9513412503602,2623.6467337038666,0.3333333333333333,0.017341040462427744,526.6775010998329,0.15714285714285714,0.11428571428571428,21,alt_dt_0.70,0.7
11,0.0,21.96955095714999,38.292679942292104,1715.828641306558,2993.332847937943,0.3492063492063492,0.04294478527607362,606.4313437542908,0.15343915343915343,0.12169312169312169,21,alt_dt_0.70,0.7
12,0.0,15.951244525091376,42.90103483884882,1811.7395965493488,3057.508912104293,0.4724770642201835,0.017142857142857144,574.0050844139186,0.13302752293577982,0.11009174311926606,21,alt_dt_0.70,0.7
13,0.0,8.518014556405003,32.03477850156144,1780.4909348778249,2826.033880160856,0.37572254335260113,0.012987012987012988,725.5612868641648,0.2138728323699422,0.1676300578034682,21,alt_dt_0.70,0.7
14,0.0,1.96752853978801,43.414179729581406,1812.5953184261234,3322.596663058195,0.38823529411764707,0.04895104895104895,609.1314937304481,0.13529411764705881,0.11176470588235295,21,alt_dt_0.70,0.7
15,0.0,7.662331332307288,48.23971553160706,2021.8470262468786,3350.8965959491848,0.3526315789473684,0.0392156862745098,610.9647469724019,0.1368421052631579,0.10526315789473684,21,alt_dt_0.70,0.7
16,0.0,2.3110047873809973,30.5218248960575,2023.014414854642,2756.539868306713,0.43575418994413406,0.006666666666666667,417.85722740206126,0.1005586592178771,0.0782122905027933,21,alt_dt_0.70,0.7
17,0.0,3.058787272960055,57.76119529273592,1905.567594643407,2690.37654762834,0.4968553459119497,0.016,561.0905823297092,0.11949685534591195,0.09433962264150944,21,alt_dt_0.70,0.7
18,0.0,1.5010304191909765,35.124857813880425,1808.6948896386873,3330.629542696741,0.38028169014084506,0.0,577.341598123512,0.14084507042253522,0.1267605633802817,21,alt_dt_0.70,0.7
19,0.0,3.9783651867652945,28.944157777070835,2042.1705653138263,3274.4767867196724,0.43448275862068964,0.0,591.2183269902783,0.13793103448275862,0.1103448275862069,21,alt_dt_0.70,0.7
20,0.0,5.723871095338071,52.866069733460826,2029.6306872674434,3183.9424956506364,0.4263565891472868,0.0,645.593342624901,0.13178294573643412,0.12403100775193798,21,alt_dt_0.70,0.7
21,0.0,2.26778929943619,16.25056841244797,2092.364219389366,3875.731011415004,0.4112903225806452,0.0,641.6748431684321,0.0967741935483871,0.0967741935483871,21,alt_dt_0.70,0.7
22,0.0,0.10189686479725424,30.773853855663827,2431.479013087447,3528.6707030376306,0.367816091954023,0.0,476.29110971200515,0.08045977011494253,0.05747126436781609,21,alt_dt_0.70,0.7
23,0.0,1.610242211075274,78.64061836063999,2195.4790243312277,3204.464668664971,0.47761194029850745,0.0,593.6672595728949,0.11940298507462686,0.1044776119402985,21,alt_dt_0.70,0.7
