number,value,params_mu_ed_assessment_discharge,params_mu_ed_service_time,params_sigma_ed_assessment_discharge,params_sigma_ed_service_time,params_wb_scale_ed_assessment_admit,params_wb_shape_ed_assessment_admit,state,source,timestamp
497,5.233983185054125,4.4993346942259596,4.264785462900756,0.9024540368914856,1.0421246738140941,79.85049103736645,1.5515644746234818,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
387,9.642226305309096,4.285789723005464,4.398023814548327,0.8550331999219899,0.7528154114503575,73.85947615756947,1.7524320345423556,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
486,9.807869697791602,4.468058265535635,4.310085581899775,0.8775209782359229,0.7780794197854654,80.10145815677456,1.7347636537784736,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
481,10.427968896397784,4.476474251404758,4.284196993335778,0.9087674409464371,0.7572557575809673,78.50555551794466,1.7294686422288525,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
451,10.794845355646823,4.49925601444339,4.282055399141772,0.959126565849157,0.7845952488366228,82.35424089351734,1.787453333316323,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
125,11.5485565188178,4.477667684668241,4.377090209804843,0.9876787923217059,1.188188132074045,84.22477980679639,1.7525867835068014,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
142,13.191855955043938,4.4288583932675385,4.311197318293192,0.8534016814357687,0.779832008081589,63.81844055520314,1.787857800990753,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
397,14.106562410587731,4.486752892460642,4.384788377352367,0.8688978056948747,0.7532955877347463,78.96857866078058,1.7320776040050105,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
455,14.784436391742508,4.467200282325598,4.239703123911929,0.9115765030588676,0.78159722506026,80.0883619628325,1.7989977235641679,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
164,14.829227563480417,4.432681618278971,4.272361754641539,0.912701253047093,1.2349582206542995,98.4747023600509,1.7197162759387976,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
118,15.021596598715957,4.3942983217171445,4.321065451706013,0.9205139311552518,0.7557890901333688,92.62224831453587,1.7490560978003329,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
279,15.343368710909857,4.379818633417691,4.329465853586491,0.9291004962418773,1.204385515943237,96.44975094769642,1.7070990454002746,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
442,15.585566844481962,4.468376332014581,4.295383150948056,0.9440728319709739,0.7703654646740181,78.68609685511558,1.747509943986689,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
488,16.25439320864275,4.452114527459663,4.290602372356611,0.8865784836303836,0.7837352229901918,79.06904421393581,1.7297293802283504,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
380,16.473764061019523,4.279761191691234,4.426403992912271,0.9374105715175903,0.967516082399044,75.18575432415182,1.7720458247077666,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
360,16.73689142172031,4.434633747448876,4.307176827371821,0.9115335076779364,1.217945048782655,78.20606772919999,1.7798166427556792,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
289,17.039974122540663,4.357642302100519,4.25802284748568,1.014370204320028,0.7503922584175651,119.745685793943,1.7692343612759531,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
250,17.08220901791216,4.340285779789387,4.283254412324613,0.9613959537041937,0.7915510095544954,90.76587916925705,1.6343855777663652,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
364,17.437103203932516,4.477315261498924,4.277556653101633,0.9075216285193144,1.212048787083609,69.18891041408024,1.7686579249806424,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
403,17.63640240478255,4.409006189655295,4.414124878660885,0.8819221505224445,0.7715098948342892,73.09104870499458,1.7434084896345663,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
386,17.959873753364306,4.441108782568946,4.398481175332792,0.9347406889478576,0.7502594489789121,74.16772609327872,1.7668146809286385,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
320,18.005921824695424,4.342950497216496,4.302474436684621,1.2880552577393365,1.2294098314073245,137.69287334224214,1.6509721101313601,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
309,18.406215210568934,4.428816614578684,4.369913621742178,0.8697066399384766,1.182781625575188,89.40123943772713,1.7674913443396174,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
499,18.463586290049193,4.479955147845837,4.263378568942799,0.8577747846148688,0.7642698528644196,90.506610934841,1.5507549667289555,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
151,18.60253127593627,4.447322125847697,4.441308258061267,0.9733114739475449,1.2137053644400582,65.3396703496562,1.7756935492546697,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
99,18.752569219584235,4.377341600433366,4.316517151844454,0.9530124409737992,1.1993308178520192,103.85483445231411,1.7874289930108729,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
235,18.84700705607634,4.376571988675302,4.290806530389964,1.2245616390099374,1.0375023137071002,77.53823955766333,1.7375391951085166,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
129,19.574998450657688,4.316577424993632,4.335301653449849,0.8036872498858627,0.8578465904406269,79.15052298371316,1.7572142977498053,COMPLETE,Optuna DES optimisation,2025-05-30 23:39:24.567732
