"","admission_probability","weight"
"1",0.025,0.0591843357853743
"2",0.075,0.100278172714348
"3",0.125,0.0878237621314212
"4",0.175,0.0765654942201892
"5",0.225,0.0664817333250912
"6",0.275,0.063139024541015
"7",0.325,0.0604932929467763
"8",0.375,0.0553996414662793
"9",0.425,0.0501174507016134
"10",0.475,0.0451381591147926
"11",0.525,0.040265500401805
"12",0.575,0.0365318044136737
"13",0.625,0.0329820114978055
"14",0.675,0.0301848303146442
"15",0.725,0.0299313840637943
"16",0.775,0.0312047969339185
"17",0.825,0.0345366878902145
"18",0.875,0.0360929096865921
"19",0.925,0.0359785497929159
"20",0.975,0.0276704580577363
