hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number,Scenario,DT Threshold
0,0.0,0.0,15.82779499117972,2054.951665636848,4337.803271256625,0.025,0.0,990.6984992178564,0.2,0.175,9,alt_dt_0.70,0.7
1,0.0,0.0,23.442111036079496,1934.4774003909793,3373.832347613152,0.48148148148148145,0.0,408.7190848454369,0.1111111111111111,0.07407407407407407,9,alt_dt_0.70,0.7
2,0.0,0.0,14.433849461693692,1850.2917636649606,3923.214887325512,0.21212121212121213,0.0,716.3514708309104,0.09090909090909091,0.09090909090909091,9,alt_dt_0.70,0.7
3,0.0,0.0,33.94106277255855,1885.7524757795156,2428.3295606276647,0.3125,0.0,500.68874318511575,0.09375,0.09375,9,alt_dt_0.70,0.7
4,0.0,0.0,37.39220991281703,1659.8546450428462,4416.655891080244,0.3783783783783784,0.0,380.4994316297887,0.05405405405405406,0.05405405405405406,9,alt_dt_0.70,0.7
5,0.0,0.0,43.207298930278434,1773.0396108102968,3715.9000475223884,0.48,0.0,760.8351890599131,0.12,0.12,9,alt_dt_0.70,0.7
6,0.0,0.0,27.888818920976217,1609.8346945870608,4275.156766278687,0.4444444444444444,0.0,606.8775495720834,0.1388888888888889,0.1111111111111111,9,alt_dt_0.70,0.7
7,0.0,2.314145709328724,47.86163317690807,1654.039566819333,4188.726007632434,0.44871794871794873,0.32857142857142857,588.3205186276837,0.1282051282051282,0.10256410256410256,9,alt_dt_0.70,0.7
8,0.0,3.067959944649162,31.461521544629573,1695.425306043654,4429.351498172662,0.40476190476190477,0.18421052631578946,673.9817036103317,0.12698412698412698,0.10317460317460317,9,alt_dt_0.70,0.7
9,0.0,1.985339184399392,46.616597127148935,1699.7291295785403,3570.14791524311,0.4411764705882353,0.052980132450331126,677.2340802728999,0.13529411764705881,0.12352941176470589,9,alt_dt_0.70,0.7
10,0.0,11.56385371931398,29.124025646499852,1719.3732862821948,3758.2931012303375,0.3867924528301887,0.0,697.3993145125276,0.1320754716981132,0.10849056603773585,9,alt_dt_0.70,0.7
11,0.0,22.024547014162327,37.66573231426082,1717.2557579443696,3699.4811400563594,0.37640449438202245,0.038461538461538464,801.3461150764001,0.14606741573033707,0.12921348314606743,9,alt_dt_0.70,0.7
12,0.0,10.757458320635124,60.58157166300934,1840.712434548633,3895.941341141845,0.4702702702702703,0.025477707006369428,669.4728147890028,0.11351351351351352,0.0918918918918919,9,alt_dt_0.70,0.7
13,0.0,3.8089484440049124,39.517161435107894,1821.1059949912164,3853.0712965126604,0.3885350318471338,0.022900763358778626,821.2094757695913,0.1337579617834395,0.11464968152866242,9,alt_dt_0.70,0.7
14,0.0,0.9312012729719531,36.86020447058586,1845.1268301469704,4251.161497942609,0.40718562874251496,0.03333333333333333,904.6134479505869,0.17365269461077845,0.1437125748502994,9,alt_dt_0.70,0.7
15,0.0,6.15116848897062,34.78536498004269,1984.1706516915642,4116.347241429882,0.4713375796178344,0.024390243902439025,584.2722456628649,0.09554140127388536,0.08280254777070063,9,alt_dt_0.70,0.7
16,0.0,4.391701684571197,43.113306312893464,1915.1274807323068,4874.875636235376,0.3954802259887006,0.06206896551724138,653.4208719085444,0.096045197740113,0.0847457627118644,9,alt_dt_0.70,0.7
17,0.0,2.5200747977991003,32.60816716423925,2011.6025968781812,3811.760120325449,0.4012345679012346,0.014492753623188406,608.5910619864313,0.10493827160493827,0.08641975308641975,9,alt_dt_0.70,0.7
18,0.0,3.8584305069078475,37.41255042618463,2005.001708391621,4016.8770843089796,0.43956043956043955,0.0,668.878812543088,0.1043956043956044,0.08791208791208792,9,alt_dt_0.70,0.7
19,0.0,11.157537549214144,16.96634264809782,1972.0754834381892,4158.281482192333,0.3933333333333333,0.0,742.2023770761859,0.14,0.10666666666666667,9,alt_dt_0.70,0.7
20,0.0,6.023690372245924,42.860054635514494,2275.639654754981,3746.7272534510817,0.4596774193548387,0.0,531.6690565781365,0.0967741935483871,0.07258064516129033,9,alt_dt_0.70,0.7
21,0.0,1.3979178206960912,17.566632715567767,2090.3515210029614,4018.85295374845,0.37373737373737376,0.0,583.8814103475372,0.1111111111111111,0.10101010101010101,9,alt_dt_0.70,0.7
22,0.0,1.1461105333965862,25.628963583095096,2034.9486435958315,4189.667707427393,0.4126984126984127,0.0,746.5134051048415,0.07936507936507936,0.07936507936507936,9,alt_dt_0.70,0.7
23,0.0,0.0,27.17146621470403,2241.9975057793727,5759.355276022142,0.45588235294117646,0.0,722.6559622693641,0.10294117647058823,0.07352941176470588,9,alt_dt_0.70,0.7
