Patient ID,Queue Length,Time
,0,0.0
,0,60.0
,1,120.0
,3,180.0
,3,240.0
,2,300.0
,1,360.0
,3,420.0
,3,480.0
,4,540.0
,9,600.0
,10,660.0
,16,720.0
,23,780.0
,24,840.0
,27,900.0
,28,960.0
,29,1020.0
,31,1080.0
,37,1140.0
,35,1200.0
,36,1260.0
,35,1320.0
,34,1380.0
,35,1440.0
,32,1500.0
,30,1560.0
,27,1620.0
,27,1680.0
,27,1740.0
,24,1800.0
,23,1860.0
,23,1920.0
,24,1980.0
,31,2040.0
,32,2100.0
,33,2160.0
,37,2220.0
,41,2280.0
,47,2340.0
,49,2400.0
,47,2460.0
,49,2520.0
,52,2580.0
,51,2640.0
,53,2700.0
,55,2760.0
,55,2820.0
,54,2880.0
,55,2940.0
,54,3000.0
,53,3060.0
,53,3120.0
,52,3180.0
,50,3240.0
,50,3300.0
,48,3360.0
,47,3420.0
,47,3480.0
,48,3540.0
,51,3600.0
,52,3660.0
,54,3720.0
,53,3780.0
,57,3840.0
,57,3900.0
,58,3960.0
,64,4020.0
,69,4080.0
,69,4140.0
,71,4200.0
,72,4260.0
,69,4320.0
,68,4380.0
,68,4440.0
,67,4500.0
,69,4560.0
,72,4620.0
,72,4680.0
,74,4740.0
,73,4800.0
,72,4860.0
,72,4920.0
,83,4980.0
,87,5040.0
,90,5100.0
,94,5160.0
,101,5220.0
,102,5280.0
,107,5340.0
,113,5400.0
,114,5460.0
,115,5520.0
,116,5580.0
,118,5640.0
,118,5700.0
,117,5760.0
,117,5820.0
,117,5880.0
,117,5940.0
,115,6000.0
,115,6060.0
,114,6120.0
,115,6180.0
,116,6240.0
,114,6300.0
,119,6360.0
,121,6420.0
,125,6480.0
,128,6540.0
,130,6600.0
,128,6660.0
,129,6720.0
,130,6780.0
,126,6840.0
,126,6900.0
,129,6960.0
,136,7020.0
,140,7080.0
,139,7140.0
,138,7200.0
,136,7260.0
,135,7320.0
,134,7380.0
,132,7440.0
,130,7500.0
,129,7560.0
,128,7620.0
,123,7680.0
,125,7740.0
,125,7800.0
,126,7860.0
,125,7920.0
,125,7980.0
,128,8040.0
,129,8100.0
,125,8160.0
,127,8220.0
,129,8280.0
,130,8340.0
,132,8400.0
,132,8460.0
,131,8520.0
,133,8580.0
,133,8640.0
,134,8700.0
,134,8760.0
,132,8820.0
,131,8880.0
,132,8940.0
,132,9000.0
,131,9060.0
,132,9120.0
,133,9180.0
,137,9240.0
,136,9300.0
,136,9360.0
,137,9420.0
,139,9480.0
,143,9540.0
,145,9600.0
,146,9660.0
,147,9720.0
,146,9780.0
,150,9840.0
,152,9900.0
,152,9960.0
,149,10020.0
,149,10080.0
,151,10140.0
,151,10200.0
,150,10260.0
,149,10320.0
,151,10380.0
,150,10440.0
,148,10500.0
,148,10560.0
,149,10620.0
,152,10680.0
,157,10740.0
,159,10800.0
,164,10860.0
,171,10920.0
,170,10980.0
,168,11040.0
,169,11100.0
,171,11160.0
,168,11220.0
,172,11280.0
,175,11340.0
,173,11400.0
,172,11460.0
,170,11520.0
,163,11580.0
,162,11640.0
,161,11700.0
,160,11760.0
,160,11820.0
,160,11880.0
,163,11940.0
,162,12000.0
,162,12060.0
,162,12120.0
,168,12180.0
,163,12240.0
,167,12300.0
,166,12360.0
,168,12420.0
,168,12480.0
,169,12540.0
,170,12600.0
,171,12660.0
,180,12720.0
,180,12780.0
,178,12840.0
,178,12900.0
,177,12960.0
,178,13020.0
,179,13080.0
,182,13140.0
,179,13200.0
,179,13260.0
,177,13320.0
,178,13380.0
,179,13440.0
,181,13500.0
,180,13560.0
,181,13620.0
,185,13680.0
,185,13740.0
,189,13800.0
,188,13860.0
,191,13920.0
,195,13980.0
,196,14040.0
,196,14100.0
,199,14160.0
,197,14220.0
,196,14280.0
,196,14340.0
,196,14400.0
,198,14460.0
,197,14520.0
,194,14580.0
,194,14640.0
,192,14700.0
,191,14760.0
,192,14820.0
,192,14880.0
,193,14940.0
,195,15000.0
,201,15060.0
,206,15120.0
,207,15180.0
,206,15240.0
,211,15300.0
,209,15360.0
,208,15420.0
,214,15480.0
,216,15540.0
,219,15600.0
,217,15660.0
,216,15720.0
,216,15780.0
,212,15840.0
,213,15900.0
,211,15960.0
,208,16020.0
,208,16080.0
,209,16140.0
,208,16200.0
,206,16260.0
,205,16320.0
,207,16380.0
,204,16440.0
,208,16500.0
,205,16560.0
,205,16620.0
,208,16680.0
,210,16740.0
,207,16800.0
,210,16860.0
,206,16920.0
,206,16980.0
,203,17040.0
,201,17100.0
,204,17160.0
,204,17220.0
,203,17280.0
,203,17340.0
,202,17400.0
,201,17460.0
,200,17520.0
,201,17580.0
,202,17640.0
,201,17700.0
,202,17760.0
,204,17820.0
,206,17880.0
,204,17940.0
,206,18000.0
,206,18060.0
,209,18120.0
,210,18180.0
,216,18240.0
,214,18300.0
,212,18360.0
,213,18420.0
,218,18480.0
,216,18540.0
,217,18600.0
,219,18660.0
,215,18720.0
,217,18780.0
,216,18840.0
,217,18900.0
,215,18960.0
,216,19020.0
,217,19080.0
,216,19140.0
,216,19200.0
,219,19260.0
,222,19320.0
,225,19380.0
,232,19440.0
,231,19500.0
,232,19560.0
,234,19620.0
,234,19680.0
,232,19740.0
,232,19800.0
,232,19860.0
,229,19920.0
,231,19980.0
,233,20040.0
,234,20100.0
,232,20160.0
,233,20220.0
,234,20280.0
,233,20340.0
,231,20400.0
,233,20460.0
,232,20520.0
,231,20580.0
,231,20640.0
,232,20700.0
,233,20760.0
,237,20820.0
,240,20880.0
,244,20940.0
,244,21000.0
,243,21060.0
,247,21120.0
,249,21180.0
,253,21240.0
,258,21300.0
,260,21360.0
,265,21420.0
,264,21480.0
,264,21540.0
