Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,0
240,4,0
300,5,0
360,6,0
420,7,0
480,8,0
540,9,0
600,10,0
660,11,0
720,12,0
780,13,0
840,14,0
900,15,0
960,16,1
1020,17,1
1080,18,1
1140,19,1
1200,20,0
1260,21,4
1320,22,8
1380,23,5
1440,0,6
1500,1,7
1560,2,9
1620,3,10
1680,4,12
1740,5,13
1800,6,15
1860,7,15
1920,8,14
1980,9,13
2040,10,11
2100,11,9
2160,12,9
2220,13,10
2280,14,11
2340,15,10
2400,16,10
2460,17,10
2520,18,11
2580,19,11
2640,20,14
2700,21,16
2760,22,19
2820,23,19
2880,0,20
2940,1,19
3000,2,24
3060,3,25
3120,4,26
3180,5,27
3240,6,17
3300,7,20
3360,8,20
3420,9,18
3480,10,18
3540,11,16
3600,12,13
3660,13,12
3720,14,12
3780,15,12
3840,16,15
3900,17,16
3960,18,20
4020,19,22
4080,20,24
4140,21,28
4200,22,31
4260,23,28
4320,0,27
4380,1,25
4440,2,26
4500,3,27
4560,4,27
4620,5,28
4680,6,28
4740,7,29
4800,8,30
4860,9,30
4920,10,27
4980,11,26
5040,12,28
5100,13,25
5160,14,26
5220,15,25
5280,16,24
5340,17,23
5400,18,24
5460,19,25
5520,20,28
5580,21,31
5640,22,32
5700,23,33
5760,0,33
5820,1,32
5880,2,33
5940,3,30
6000,4,33
6060,5,33
6120,6,36
6180,7,35
6240,8,35
6300,9,35
6360,10,34
6420,11,32
6480,12,33
6540,13,35
6600,14,35
6660,15,35
6720,16,35
6780,17,36
6840,18,40
6900,19,41
6960,20,44
7020,21,48
7080,22,50
7140,23,44
7200,0,42
7260,1,43
7320,2,40
7380,3,41
7440,4,42
7500,5,39
7560,6,40
7620,7,41
7680,8,40
7740,9,39
7800,10,36
7860,11,37
7920,12,36
7980,13,38
8040,14,38
8100,15,39
8160,16,39
8220,17,40
8280,18,40
8340,19,41
8400,20,41
8460,21,43
8520,22,46
8580,23,46
8640,0,47
8700,1,48
8760,2,49
8820,3,48
8880,4,49
8940,5,47
9000,6,50
9060,7,50
9120,8,49
9180,9,50
9240,10,47
9300,11,45
9360,12,46
9420,13,46
9480,14,46
9540,15,47
9600,16,48
9660,17,49
9720,18,50
9780,19,49
9840,20,53
9900,21,53
9960,22,57
10020,23,56
10080,0,59
10140,1,57
10200,2,60
10260,3,59
10320,4,64
10380,5,65
10440,6,64
10500,7,66
10560,8,66
10620,9,65
10680,10,65
10740,11,61
10800,12,60
10860,13,60
10920,14,61
10980,15,61
11040,16,62
11100,17,60
11160,18,58
11220,19,59
11280,20,62
11340,21,64
11400,22,65
11460,23,60
11520,0,60
11580,1,60
11640,2,61
11700,3,63
11760,4,64
11820,5,66
11880,6,66
11940,7,70
12000,8,70
12060,9,71
12120,10,70
12180,11,68
12240,12,69
12300,13,69
12360,14,69
12420,15,70
12480,16,68
12540,17,69
12600,18,72
12660,19,72
12720,20,73
12780,21,77
12840,22,79
12900,23,79
12960,0,75
13020,1,74
13080,2,76
13140,3,74
13200,4,75
13260,5,77
13320,6,78
13380,7,80
13440,8,79
13500,9,80
13560,10,78
13620,11,78
13680,12,77
13740,13,77
13800,14,77
13860,15,77
13920,16,78
13980,17,77
14040,18,77
14100,19,76
14160,20,77
14220,21,76
14280,22,79
14340,23,77
14400,0,78
14460,1,77
14520,2,79
14580,3,79
14640,4,81
14700,5,83
14760,6,86
14820,7,87
14880,8,85
14940,9,85
15000,10,84
15060,11,81
15120,12,81
15180,13,81
15240,14,81
15300,15,79
15360,16,79
15420,17,77
15480,18,79
15540,19,77
15600,20,78
15660,21,80
15720,22,80
15780,23,82
15840,0,79
15900,1,81
15960,2,80
16020,3,79
16080,4,81
16140,5,81
16200,6,81
16260,7,78
16320,8,78
16380,9,75
16440,10,75
16500,11,71
16560,12,71
16620,13,69
16680,14,69
16740,15,70
16800,16,70
16860,17,71
16920,18,71
16980,19,75
17040,20,79
17100,21,80
17160,22,82
17220,23,79
17280,0,77
17340,1,77
17400,2,78
17460,3,78
17520,4,81
17580,5,81
17640,6,82
17700,7,81
17760,8,81
17820,9,83
17880,10,79
17940,11,79
18000,12,80
18060,13,79
18120,14,82
18180,15,81
18240,16,81
18300,17,79
18360,18,82
18420,19,81
18480,20,84
18540,21,89
18600,22,90
18660,23,90
18720,0,88
18780,1,88
18840,2,87
18900,3,88
18960,4,88
19020,5,90
19080,6,91
19140,7,93
19200,8,92
19260,9,92
19320,10,91
19380,11,88
19440,12,87
19500,13,87
19560,14,88
19620,15,88
19680,16,89
19740,17,89
19800,18,90
19860,19,90
19920,20,91
19980,21,93
20040,22,95
20100,23,95
20160,0,95
20220,1,96
20280,2,98
20340,3,99
20400,4,100
20460,5,100
20520,6,100
20580,7,102
20640,8,104
20700,9,104
20760,10,102
20820,11,100
20880,12,100
20940,13,100
21000,14,100
21060,15,101
21120,16,101
21180,17,101
21240,18,104
21300,19,108
21360,20,111
21420,21,111
21480,22,112
21540,23,113
