hour,num_staff
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,1
9,1
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,5
18,5
19,5
20,5
21,0
22,3
23,3
