hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number,Scenario,DT Threshold
0,0.0,0.0,26.63728135950123,1691.1454706798233,4255.531914076136,0.023809523809523808,0.0,661.4179561043063,0.14285714285714285,0.11904761904761904,19,alt_dt_0.70,0.7
1,0.0,0.0,40.04575428840781,1690.9935529004176,2341.897948111069,0.4642857142857143,0.0,586.138564011236,0.14285714285714285,0.14285714285714285,19,alt_dt_0.70,0.7
2,0.0,0.0,26.56863306399282,1724.3352374925307,,0.5161290322580645,0.0,144.19884189905238,0.03225806451612903,0.03225806451612903,19,alt_dt_0.70,0.7
3,0.0,0.0,31.513586120280575,1595.9723198091708,3859.183260809926,0.5277777777777778,0.0,567.7251587828057,0.16666666666666666,0.1111111111111111,19,alt_dt_0.70,0.7
4,0.0,0.0,55.51177846678365,1577.8998713417093,2413.5269627349767,0.37037037037037035,0.0,885.2183853445856,0.2222222222222222,0.18518518518518517,19,alt_dt_0.70,0.7
5,0.0,0.0,42.43704889668801,1684.434509944555,3426.100361636206,0.6,0.0,604.2292786632373,0.1,0.1,19,alt_dt_0.70,0.7
6,0.0,0.0,0.0,1382.3927757237518,3175.28387296367,0.34375,0.0,761.805513264388,0.15625,0.125,19,alt_dt_0.70,0.7
7,0.0,1.7239389938319643,33.04669086487714,1546.367021953466,3041.2112831492536,0.4186046511627907,0.3875,469.34299617575397,0.12790697674418605,0.10465116279069768,19,alt_dt_0.70,0.7
8,0.0,0.0,37.04965047473498,1568.4583929580756,3975.966449532893,0.408,0.16964285714285715,779.1943208729606,0.152,0.136,19,alt_dt_0.70,0.7
9,0.0,3.053626547635841,36.20949857965713,1571.670077982283,3765.445901805377,0.45077720207253885,0.02857142857142857,446.9923302420265,0.10362694300518134,0.07772020725388601,19,alt_dt_0.70,0.7
10,0.0,12.812316347035084,25.00976507061421,1616.991158557489,3534.706362216669,0.4263157894736842,0.04142011834319527,547.7198568492846,0.11578947368421053,0.1,19,alt_dt_0.70,0.7
11,0.0,26.280387743787035,43.05178774126324,1537.494424402196,3319.2231255775346,0.39826839826839827,0.021052631578947368,684.6212791254796,0.1341991341991342,0.10822510822510822,19,alt_dt_0.70,0.7
12,0.0,20.677454876278528,27.108381767167135,1597.7599603856274,3190.9947439974394,0.37572254335260113,0.0070921985815602835,684.8388532242706,0.1329479768786127,0.10404624277456648,19,alt_dt_0.70,0.7
13,0.0,8.17361650225636,47.9677592557898,1700.826979668384,3873.4518128002132,0.4512820512820513,0.025,780.068241750169,0.13846153846153847,0.11282051282051282,19,alt_dt_0.70,0.7
14,0.0,7.094635510266016,58.75374856424322,1615.7423109001834,3312.447320589185,0.4024390243902439,0.03496503496503497,429.3269251380246,0.0975609756097561,0.06707317073170732,19,alt_dt_0.70,0.7
15,0.0,10.56803916133122,47.54272447991217,1688.5425360021459,4054.8946057731987,0.3902439024390244,0.03676470588235294,821.4919605739473,0.15853658536585366,0.1402439024390244,19,alt_dt_0.70,0.7
16,0.0,4.279727866791493,25.891884236856736,1639.5289286932575,3663.5837073652265,0.39325842696629215,0.04195804195804196,829.4074112584041,0.12359550561797752,0.12359550561797752,19,alt_dt_0.70,0.7
17,0.0,2.756616634163245,31.04941965094704,1717.8039856991024,3792.5377093428588,0.3764705882352941,0.014598540145985401,644.4840251166763,0.11176470588235295,0.09411764705882353,19,alt_dt_0.70,0.7
18,0.0,4.10436185898219,34.24850595402642,1765.1623062981755,4373.416083717872,0.4,0.0,642.9126988763442,0.11515151515151516,0.08484848484848485,19,alt_dt_0.70,0.7
19,0.0,11.535396220680388,45.26102511056424,1822.9378261519826,4274.47208946158,0.4171779141104294,0.0,561.8880753892643,0.147239263803681,0.09815950920245399,19,alt_dt_0.70,0.7
20,0.0,6.705115286754922,11.384943174243224,1787.3392929981874,3356.715540182979,0.42857142857142855,0.0,553.6852368184464,0.09243697478991597,0.07563025210084033,19,alt_dt_0.70,0.7
21,0.0,1.8952736797984016,49.9132190222349,1914.6904791539562,4625.695889264837,0.5098039215686274,0.0,536.8244271567141,0.06862745098039216,0.06862745098039216,19,alt_dt_0.70,0.7
22,0.0,0.0,25.46783608628102,1896.9692429012196,5038.874204782251,0.3888888888888889,0.0,641.3451092919584,0.08888888888888889,0.05555555555555555,19,alt_dt_0.70,0.7
23,0.0,0.0,42.67206306977209,1740.4100114977841,3325.0824769563696,0.36231884057971014,0.0,1174.3526538356975,0.2028985507246377,0.17391304347826086,19,alt_dt_0.70,0.7
