hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
0,3.1294077660020903,120.940208105693,,621.2194070735277,775.7482607082944,0.10256410256410256,0.0,303.4389130752873,0.40425531914893614,0.10638297872340426,1
1,0.530036724523768,120.31155282651974,,562.6616821217856,757.6792188529429,0.16216216216216217,0.0,293.72384016624164,0.4375,0.0625,1
2,0.4626593342103661,137.64263616946198,,457.5247667114951,684.4345327776177,0.1111111111111111,0.0,362.26994414728574,0.52,0.12,1
3,0.16588554609980175,136.97695742301505,,491.869561342801,750.1330124411888,0.09523809523809523,0.0,339.1860685840383,0.6296296296296297,0.07407407407407407,1
4,0.0973254380584068,123.6239856115108,,699.0332665783671,,0.08333333333333333,0.0,291.17452095844595,0.5,0.16666666666666666,1
5,0.3794295423242407,63.10508393480024,,143.7046263076827,425.1356395548837,0.037037037037037035,0.0,243.72312358835654,0.37142857142857144,0.02857142857142857,1
6,0.9381836350992369,37.04284697391316,,344.18581950396583,536.0438744663512,0.08333333333333333,0.0,249.71685756145203,0.36666666666666664,0.06666666666666667,1
7,0.6062238565446235,22.757227839212703,,417.28226644081406,551.569989704315,0.08571428571428572,0.06060606060606061,148.40691892805583,0.11627906976744186,0.023255813953488372,1
8,1.6531539787921627,28.824723852238613,,354.5456468883253,546.7756288872579,0.15517241379310345,0.1276595744680851,202.77997048311346,0.2702702702702703,0.06756756756756757,1
9,2.8891141802862856,30.353940797575714,,313.55554719398566,420.0617511319284,0.14285714285714285,0.16666666666666666,199.23353104342178,0.25833333333333336,0.05,1
10,9.654868189795879,23.323336531940775,,235.39315652265577,387.9157542921573,0.0970873786407767,0.08333333333333333,169.49215682171393,0.2097902097902098,0.013986013986013986,1
