day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Thu,5.922357000209441,48.96741123322814,,623.3212423214102,653.2716465577123,0.08812260536398467,0.019704433497536946,249.34088833041537,0.30116959064327486,0.08187134502923976,4
Tue,3.193086238417666,83.2139162977854,,96.47707297654257,283.04377583189506,0.09854014598540146,0.03333333333333333,215.71339148463647,0.3209169054441261,0.011461318051575931,4
Wed,12.021127284604066,77.17013960677474,,222.8542382786183,410.4174409394289,0.11371237458193979,0.016129032258064516,210.25079865853826,0.30708661417322836,0.013123359580052493,4
Fri,4.046430561703217,24.485503592491067,,1790.2718808385455,2102.309992404737,0.07518796992481203,0.01932367149758454,502.2886482149903,0.26512968299711814,0.18155619596541786,5
Mon,7.07206248981874,36.48509625069733,101.50243986436908,,,0.10580204778156997,0.07883817427385892,123.37539858848923,0.07547169811320754,0.0,5
Sat,2.3004944353992838,10.700141649402141,,1976.140953525991,2341.025887021973,0.10619469026548672,0.020833333333333332,438.7158002689794,0.18835616438356165,0.11986301369863013,5
Sun,2.530132184975396,24.796758273813555,216.24546059126624,1716.2869685848268,1943.1590414742404,0.12749003984063745,0.05825242718446602,183.25091514060642,0.14285714285714285,0.031055900621118012,5
Thu,1.64384390128228,35.72292225399197,,914.2241061239134,1039.219769590441,0.08267716535433071,0.01932367149758454,284.36497578299867,0.28012048192771083,0.11144578313253012,5
Tue,3.9714358443538966,29.496638670616353,,431.57106067139506,590.2057528734656,0.06643356643356643,0.021834061135371178,232.75289569190082,0.2803234501347709,0.07008086253369272,5
Wed,12.376503636379764,76.17318363499174,70.81142749056062,835.7585713239843,1146.355608540342,0.11805555555555555,0.01702127659574468,359.50606324862457,0.39502762430939226,0.15193370165745856,5
Fri,5.958046023878127,18.661071884527995,80.35226266255268,1570.1989592471664,1930.5619017090978,0.11328125,0.019230769230769232,451.67282658962176,0.2507836990595611,0.15673981191222572,6
Mon,4.071636964799228,20.68258447367841,32.9186414918222,1320.3133992112662,,0.11151079136690648,0.07456140350877193,115.43698152879132,0.07458563535911603,0.0027624309392265192,6
Sat,3.483765959683378,20.87737710660096,39.424366921818546,1466.516113744142,1880.4170753308588,0.08560311284046693,0.017937219730941704,363.69761977535904,0.20359281437125748,0.12275449101796407,6
Sun,1.554047406418348,31.4917208871214,200.92836777144475,1345.496881892893,1538.1082284408978,0.10087719298245613,0.046153846153846156,240.56967555821166,0.1836734693877551,0.061224489795918366,6
Thu,6.643979083101514,23.35562634995145,,1684.5309936244025,1801.0594095684971,0.07228915662650602,0.019704433497536946,379.3321881906693,0.2578616352201258,0.1509433962264151,6
Tue,6.140940003957927,34.005975547572625,,1130.7786485529577,1297.74228453773,0.11785714285714285,0.02666666666666667,348.384935689115,0.29971181556195964,0.16138328530259366,6
Wed,2.987363914531685,29.765670742953265,,1538.0000534300036,1652.995214682279,0.07169811320754717,0.01834862385321101,360.66527650517963,0.29411764705882354,0.15,6
Fri,5.506227997421264,45.359123767057156,132.02363182619592,2108.0578898063195,2324.2553288997638,0.10309278350515463,0.016877637130801686,534.588513117012,0.3041095890410959,0.16712328767123288,7
Mon,4.046922041365364,50.750425111731055,,,,0.07973421926910298,0.04897959183673469,140.79390431747555,0.10732984293193717,0.0,7
