hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number,Scenario,DT Threshold
0,0.0,0.7261341439915835,36.63725883759935,1863.501217845595,3080.245265416462,0.015873015873015872,0.0,342.76925336755306,0.07936507936507936,0.06349206349206349,4,alt_dt_0.70,0.7
1,0.0,0.5582644800690306,32.98962946427109,1756.3323733859688,3388.4070278174786,0.4230769230769231,0.0,682.1091588246717,0.15384615384615385,0.1346153846153846,4,alt_dt_0.70,0.7
2,0.0,0.005665548339720772,25.99879789876973,1951.2866902893995,3197.214407355378,0.27906976744186046,0.0,511.8264378078447,0.16279069767441862,0.09302325581395349,4,alt_dt_0.70,0.7
3,0.0,0.0,10.434674486643416,1624.4939647842152,3568.0536095585257,0.36363636363636365,0.0,792.3536423980668,0.18181818181818182,0.18181818181818182,4,alt_dt_0.70,0.7
4,0.0,0.0,28.854011392181565,1703.2459009189333,2063.7895577851687,0.32142857142857145,0.0,466.73589463012235,0.14285714285714285,0.14285714285714285,4,alt_dt_0.70,0.7
5,0.0,0.0,0.0,1973.845501936575,3527.0555144299374,0.22727272727272727,0.0,1037.931378023556,0.13636363636363635,0.13636363636363635,4,alt_dt_0.70,0.7
6,0.0,0.0,19.52329123817587,1822.173876866084,4338.6538295676,0.375,0.0,578.6247754174053,0.09375,0.09375,4,alt_dt_0.70,0.7
7,0.0,1.0628379209424723,27.316027204295516,1561.7935169262344,3097.8313287651586,0.49333333333333335,0.40298507462686567,550.8960514300518,0.13333333333333333,0.13333333333333333,4,alt_dt_0.70,0.7
8,0.0,0.0,33.13708754845993,1337.640538701205,2995.5323896985565,0.36893203883495146,0.12903225806451613,625.026153365773,0.1553398058252427,0.14563106796116504,4,alt_dt_0.70,0.7
9,0.0,0.41848375355362566,37.79401276888548,1480.7430693823303,3074.112340236333,0.3953488372093023,0.07947019867549669,556.5270200166775,0.12790697674418605,0.12209302325581395,4,alt_dt_0.70,0.7
10,0.0,12.630966982306184,44.76776032245647,1551.8933153071046,2982.934852532967,0.3969849246231156,0.05202312138728324,413.1534451489408,0.10050251256281408,0.08040201005025126,4,alt_dt_0.70,0.7
11,0.0,20.344159335763862,50.75723744974458,1554.4812198327131,2977.5135279988253,0.34444444444444444,0.02564102564102564,651.4107897873783,0.17777777777777778,0.1388888888888889,4,alt_dt_0.70,0.7
12,0.0,17.66321476194254,32.241050323698374,1552.8224218265227,2766.763945298763,0.3567567567567568,0.06666666666666667,566.2056130977179,0.15675675675675677,0.12972972972972974,4,alt_dt_0.70,0.7
13,0.0,9.522899383953817,43.17666942404239,1805.9784507463494,3255.0789803212615,0.38372093023255816,0.0136986301369863,517.5302403879354,0.13953488372093023,0.0872093023255814,4,alt_dt_0.70,0.7
14,0.0,7.114422779101256,38.584073554610406,1600.7936716763684,3163.362715543312,0.3821656050955414,0.007462686567164179,887.4233269798478,0.2356687898089172,0.19745222929936307,4,alt_dt_0.70,0.7
15,0.0,6.3558758181038595,66.24252886380957,1661.0908587992149,2968.086426076066,0.38311688311688313,0.025,544.93182001915,0.11688311688311688,0.09740259740259741,4,alt_dt_0.70,0.7
16,0.0,5.767682929229492,59.06933160131853,1902.8382927280882,2842.9049091013244,0.430939226519337,0.03355704697986577,471.1393079726288,0.12154696132596685,0.07734806629834254,4,alt_dt_0.70,0.7
17,0.0,4.622351016425876,49.855445106935804,1957.7314624332755,3022.9769850412763,0.41509433962264153,0.0072992700729927005,595.0856714440552,0.16981132075471697,0.11949685534591195,4,alt_dt_0.70,0.7
18,0.0,2.063418012079445,28.98380305635152,1868.7633823549536,2946.4576530558397,0.3767123287671233,0.0,681.4861619997644,0.1506849315068493,0.13013698630136986,4,alt_dt_0.70,0.7
19,0.0,1.7376062139693593,25.123762658668156,1999.195077230097,3114.3172253503826,0.3888888888888889,0.0,719.9760856657233,0.1597222222222222,0.1388888888888889,4,alt_dt_0.70,0.7
20,0.0,1.4066734234937297,45.14436931786589,2019.6721536574064,3741.4169988672174,0.39669421487603307,0.0,801.5315915455335,0.14049586776859505,0.1322314049586777,4,alt_dt_0.70,0.7
21,0.0,1.3270953112396584,33.209608659326605,2051.3971745737026,3218.0190827335414,0.4107142857142857,0.0,471.2899043451901,0.10714285714285714,0.07142857142857142,4,alt_dt_0.70,0.7
22,0.0,0.0,43.39955617261474,1981.7157817505677,3017.122061616697,0.4177215189873418,0.0,708.2848928305459,0.12658227848101267,0.12658227848101267,4,alt_dt_0.70,0.7
23,0.0,0.0,27.573196615067786,2121.827357789001,3283.668571530876,0.4264705882352941,0.0,506.73304052336823,0.07352941176470588,0.058823529411764705,4,alt_dt_0.70,0.7
