Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,0
240,4,0
300,5,2
360,6,2
420,7,2
480,8,0
540,9,0
600,10,0
660,11,0
720,12,0
780,13,0
840,14,1
900,15,0
960,16,2
1020,17,1
1080,18,3
1140,19,3
1200,20,8
1260,21,10
1320,22,12
1380,23,13
1440,0,14
1500,1,9
1560,2,12
1620,3,10
1680,4,12
1740,5,14
1800,6,12
1860,7,14
1920,8,14
1980,9,11
2040,10,9
2100,11,8
2160,12,8
2220,13,9
2280,14,8
2340,15,9
2400,16,10
2460,17,11
2520,18,14
2580,19,15
2640,20,15
2700,21,17
2760,22,19
2820,23,6
2880,0,5
2940,1,4
3000,2,5
3060,3,5
3120,4,3
3180,5,5
3240,6,5
3300,7,7
3360,8,7
3420,9,5
3480,10,4
3540,11,2
3600,12,4
3660,13,2
3720,14,4
3780,15,1
3840,16,1
3900,17,3
3960,18,4
4020,19,8
4080,20,11
4140,21,11
4200,22,13
4260,23,9
4320,0,9
4380,1,7
4440,2,8
4500,3,8
4560,4,8
4620,5,8
4680,6,9
4740,7,12
4800,8,13
4860,9,14
4920,10,12
4980,11,9
5040,12,9
5100,13,8
5160,14,7
5220,15,8
5280,16,7
5340,17,8
5400,18,10
5460,19,14
5520,20,18
5580,21,19
5640,22,19
5700,23,20
5760,0,19
5820,1,18
5880,2,20
5940,3,19
6000,4,22
6060,5,24
6120,6,25
6180,7,25
6240,8,25
6300,9,24
6360,10,23
6420,11,22
6480,12,20
6540,13,20
6600,14,19
6660,15,18
6720,16,18
6780,17,18
6840,18,20
6900,19,22
6960,20,23
7020,21,26
7080,22,29
7140,23,19
7200,0,22
7260,1,20
7320,2,22
7380,3,21
7440,4,20
7500,5,20
7560,6,18
7620,7,19
7680,8,21
7740,9,19
7800,10,18
7860,11,15
7920,12,13
7980,13,12
8040,14,12
8100,15,11
8160,16,9
8220,17,9
8280,18,10
8340,19,11
8400,20,14
8460,21,18
8520,22,21
8580,23,19
8640,0,21
8700,1,22
8760,2,23
8820,3,23
8880,4,27
8940,5,30
9000,6,28
9060,7,31
9120,8,32
9180,9,31
9240,10,29
9300,11,27
9360,12,28
9420,13,25
9480,14,25
9540,15,25
9600,16,25
9660,17,26
9720,18,27
9780,19,29
9840,20,31
9900,21,34
9960,22,35
10020,23,35
10080,0,34
10140,1,36
10200,2,37
10260,3,38
10320,4,39
10380,5,39
10440,6,41
10500,7,41
10560,8,42
10620,9,43
10680,10,40
10740,11,39
10800,12,41
10860,13,42
10920,14,43
10980,15,44
11040,16,45
11100,17,45
11160,18,46
11220,19,49
11280,20,52
11340,21,53
11400,22,56
11460,23,55
11520,0,56
11580,1,60
11640,2,61
11700,3,60
11760,4,62
11820,5,56
11880,6,59
11940,7,58
12000,8,61
12060,9,60
12120,10,57
12180,11,54
12240,12,53
12300,13,52
12360,14,48
12420,15,47
12480,16,46
12540,17,47
12600,18,44
12660,19,45
12720,20,47
12780,21,50
12840,22,52
12900,23,52
12960,0,46
13020,1,43
13080,2,44
13140,3,45
13200,4,46
13260,5,45
13320,6,46
13380,7,46
13440,8,46
13500,9,46
13560,10,44
13620,11,41
13680,12,43
13740,13,43
13800,14,44
13860,15,44
13920,16,45
13980,17,45
14040,18,47
14100,19,48
14160,20,49
14220,21,52
14280,22,54
14340,23,50
14400,0,49
14460,1,45
14520,2,47
14580,3,50
14640,4,51
14700,5,52
14760,6,51
14820,7,53
14880,8,54
14940,9,54
15000,10,53
15060,11,50
15120,12,54
15180,13,54
15240,14,52
15300,15,52
15360,16,52
15420,17,52
15480,18,53
15540,19,53
15600,20,54
15660,21,56
15720,22,59
15780,23,56
15840,0,56
15900,1,57
15960,2,57
16020,3,57
16080,4,57
16140,5,56
16200,6,59
16260,7,59
16320,8,58
16380,9,57
16440,10,56
16500,11,54
16560,12,52
16620,13,52
16680,14,54
16740,15,57
16800,16,55
16860,17,54
16920,18,56
16980,19,55
17040,20,56
17100,21,60
17160,22,59
17220,23,62
17280,0,61
17340,1,58
17400,2,63
17460,3,62
17520,4,65
17580,5,65
17640,6,70
17700,7,66
17760,8,65
17820,9,65
17880,10,64
17940,11,62
18000,12,64
18060,13,64
18120,14,63
18180,15,63
18240,16,62
18300,17,65
18360,18,64
18420,19,66
18480,20,69
18540,21,70
18600,22,71
18660,23,72
18720,0,72
18780,1,71
18840,2,71
18900,3,70
18960,4,72
19020,5,72
19080,6,73
19140,7,75
19200,8,77
19260,9,77
19320,10,77
19380,11,75
19440,12,74
19500,13,75
19560,14,75
19620,15,76
19680,16,74
19740,17,75
19800,18,73
19860,19,76
19920,20,76
19980,21,79
20040,22,80
20100,23,80
20160,0,80
20220,1,79
20280,2,81
20340,3,81
20400,4,83
20460,5,82
20520,6,82
20580,7,82
20640,8,82
20700,9,80
20760,10,80
20820,11,78
20880,12,77
20940,13,78
21000,14,78
21060,15,80
21120,16,79
21180,17,79
21240,18,79
21300,19,84
21360,20,85
21420,21,87
21480,22,88
21540,23,88
