Patient ID,Queue Length,Time
,0,0.0
,0,60.0
,1,120.0
,6,180.0
,6,240.0
,5,300.0
,3,360.0
,2,420.0
,3,480.0
,4,540.0
,6,600.0
,11,660.0
,14,720.0
,17,780.0
,18,840.0
,22,900.0
,29,960.0
,29,1020.0
,31,1080.0
,30,1140.0
,32,1200.0
,30,1260.0
,36,1320.0
,35,1380.0
,31,1440.0
,30,1500.0
,31,1560.0
,31,1620.0
,31,1680.0
,27,1740.0
,27,1800.0
,25,1860.0
,25,1920.0
,19,1980.0
,21,2040.0
,21,2100.0
,23,2160.0
,26,2220.0
,26,2280.0
,27,2340.0
,28,2400.0
,35,2460.0
,33,2520.0
,35,2580.0
,30,2640.0
,26,2700.0
,22,2760.0
,18,2820.0
,18,2880.0
,16,2940.0
,17,3000.0
,17,3060.0
,17,3120.0
,16,3180.0
,15,3240.0
,14,3300.0
,14,3360.0
,17,3420.0
,15,3480.0
,14,3540.0
,11,3600.0
,14,3660.0
,19,3720.0
,23,3780.0
,24,3840.0
,26,3900.0
,31,3960.0
,35,4020.0
,35,4080.0
,33,4140.0
,41,4200.0
,40,4260.0
,38,4320.0
,35,4380.0
,33,4440.0
,34,4500.0
,34,4560.0
,36,4620.0
,36,4680.0
,36,4740.0
,35,4800.0
,35,4860.0
,37,4920.0
,38,4980.0
,42,5040.0
,40,5100.0
,44,5160.0
,46,5220.0
,48,5280.0
,54,5340.0
,58,5400.0
,60,5460.0
,59,5520.0
,59,5580.0
,54,5640.0
,59,5700.0
,59,5760.0
,60,5820.0
,59,5880.0
,60,5940.0
,60,6000.0
,61,6060.0
,59,6120.0
,59,6180.0
,59,6240.0
,58,6300.0
,55,6360.0
,61,6420.0
,61,6480.0
,60,6540.0
,63,6600.0
,63,6660.0
,63,6720.0
,61,6780.0
,64,6840.0
,68,6900.0
,68,6960.0
,67,7020.0
,60,7080.0
,60,7140.0
,57,7200.0
,59,7260.0
,55,7320.0
,56,7380.0
,52,7440.0
,51,7500.0
,49,7560.0
,49,7620.0
,48,7680.0
,47,7740.0
,50,7800.0
,54,7860.0
,54,7920.0
,59,7980.0
,60,8040.0
,60,8100.0
,64,8160.0
,66,8220.0
,68,8280.0
,71,8340.0
,69,8400.0
,73,8460.0
,72,8520.0
,73,8580.0
,76,8640.0
,77,8700.0
,76,8760.0
,76,8820.0
,76,8880.0
,77,8940.0
,74,9000.0
,75,9060.0
,75,9120.0
,76,9180.0
,81,9240.0
,86,9300.0
,87,9360.0
,88,9420.0
,92,9480.0
,95,9540.0
,93,9600.0
,93,9660.0
,99,9720.0
,99,9780.0
,100,9840.0
,101,9900.0
,102,9960.0
,99,10020.0
,100,10080.0
,100,10140.0
,100,10200.0
,98,10260.0
,96,10320.0
,96,10380.0
,96,10440.0
,93,10500.0
,91,10560.0
,93,10620.0
,92,10680.0
,96,10740.0
,100,10800.0
,104,10860.0
,99,10920.0
,102,10980.0
,102,11040.0
,107,11100.0
,106,11160.0
,107,11220.0
,112,11280.0
,114,11340.0
,115,11400.0
,113,11460.0
,113,11520.0
,113,11580.0
,113,11640.0
,110,11700.0
,108,11760.0
,107,11820.0
,106,11880.0
,105,11940.0
,106,12000.0
,108,12060.0
,106,12120.0
,106,12180.0
,110,12240.0
,110,12300.0
,110,12360.0
,112,12420.0
,119,12480.0
,116,12540.0
,119,12600.0
,125,12660.0
,124,12720.0
,128,12780.0
,127,12840.0
,127,12900.0
,123,12960.0
,123,13020.0
,125,13080.0
,124,13140.0
,124,13200.0
,123,13260.0
,128,13320.0
,127,13380.0
,127,13440.0
,123,13500.0
,125,13560.0
,123,13620.0
,130,13680.0
,128,13740.0
,132,13800.0
,131,13860.0
,135,13920.0
,132,13980.0
,133,14040.0
,133,14100.0
,134,14160.0
,137,14220.0
,138,14280.0
,139,14340.0
,137,14400.0
,136,14460.0
,135,14520.0
,134,14580.0
,133,14640.0
,132,14700.0
,131,14760.0
,131,14820.0
,134,14880.0
,134,14940.0
,134,15000.0
,138,15060.0
,140,15120.0
,142,15180.0
,145,15240.0
,150,15300.0
,147,15360.0
,149,15420.0
,152,15480.0
,153,15540.0
,151,15600.0
,149,15660.0
,147,15720.0
,149,15780.0
,146,15840.0
,145,15900.0
,145,15960.0
,146,16020.0
,144,16080.0
,143,16140.0
,143,16200.0
,143,16260.0
,143,16320.0
,143,16380.0
,145,16440.0
,147,16500.0
,155,16560.0
,156,16620.0
,157,16680.0
,161,16740.0
,165,16800.0
,166,16860.0
,164,16920.0
,165,16980.0
,171,17040.0
,172,17100.0
,172,17160.0
,172,17220.0
,171,17280.0
,173,17340.0
,173,17400.0
,171,17460.0
,171,17520.0
,170,17580.0
,167,17640.0
,169,17700.0
,169,17760.0
,166,17820.0
,165,17880.0
,166,17940.0
,165,18000.0
,172,18060.0
,177,18120.0
,180,18180.0
,180,18240.0
,180,18300.0
,179,18360.0
,185,18420.0
,190,18480.0
,187,18540.0
,187,18600.0
,188,18660.0
,190,18720.0
,188,18780.0
,190,18840.0
,187,18900.0
,186,18960.0
,189,19020.0
,190,19080.0
,190,19140.0
,191,19200.0
,191,19260.0
,194,19320.0
,198,19380.0
,199,19440.0
,199,19500.0
,197,19560.0
,196,19620.0
,195,19680.0
,196,19740.0
,200,19800.0
,202,19860.0
,203,19920.0
,205,19980.0
,205,20040.0
,207,20100.0
,208,20160.0
,210,20220.0
,211,20280.0
,212,20340.0
,215,20400.0
,215,20460.0
,216,20520.0
,216,20580.0
,217,20640.0
,218,20700.0
,218,20760.0
,219,20820.0
,219,20880.0
,220,20940.0
,221,21000.0
,223,21060.0
,221,21120.0
,227,21180.0
,224,21240.0
,227,21300.0
,225,21360.0
,229,21420.0
,228,21480.0
,231,21540.0
