mu,sigma,ks_stat,ks_p,sim_mean,obs_mean,mean_diff,n_sim
4.1,0.465,0.17183970691743478,1.99882553554509e-309,201.11388477278453,302.3248252983668,101.21094052558229,12827
4.1,0.47000000000000003,0.13249821207723644,2.0926894658203863e-182,212.91033294425856,302.3248252983668,89.41449235410826,12734
4.1,0.47500000000000003,0.13131496807406962,4.482616156454527e-180,214.6586633774374,302.3248252983668,87.66616192092943,12804
4.109999999999999,0.465,0.13713052230907297,2.0874334332459998e-196,212.7752813456722,302.3248252983668,89.54954395269462,12804
4.109999999999999,0.47000000000000003,0.13489775079259625,1.8289772118655087e-189,215.71629972901994,302.3248252983668,86.60852556934688,12761
4.109999999999999,0.47500000000000003,0.11291291592675157,8.881466818228317e-133,226.20000245798,302.3248252983668,76.12482284038683,12768
4.119999999999999,0.465,0.08154038656868631,1.1172711147007766e-69,244.18504424192744,302.3248252983668,58.139781056439375,12831
4.119999999999999,0.47000000000000003,0.1326273889501245,6.029176837255288e-183,219.7979742159947,302.3248252983668,82.5268510823721,12747
4.119999999999999,0.47500000000000003,0.09611785376125659,1.7043189663424522e-96,243.7448874970902,302.3248252983668,58.57993780127663,12801
4.129999999999999,0.465,0.05824622742303198,2.197147280833203e-35,274.1760257436408,302.3248252983668,28.148799554725997,12693
4.129999999999999,0.47000000000000003,0.08067658741499428,3.068159043475919e-68,260.10383176416275,302.3248252983668,42.22099353420407,12836
4.129999999999999,0.47500000000000003,0.07561762230966146,4.942612340898071e-59,296.6168943402809,302.3248252983668,5.70793095808591,12614
4.139999999999999,0.465,0.0698876790185905,4.4062683068461944e-51,268.2016743124891,302.3248252983668,34.123150985877714,12777
4.139999999999999,0.47000000000000003,0.10747914415245896,5.613044001292835e-119,322.0481674855072,302.3248252983668,19.72334218714036,12616
4.139999999999999,0.47500000000000003,0.08792416845408574,1.584265972106237e-80,299.2185452597613,302.3248252983668,3.1062800386055187,12757
4.149999999999999,0.465,0.0517241828724066,2.2462425315724965e-27,284.22995280432434,302.3248252983668,18.094872494042477,12389
4.149999999999999,0.47000000000000003,0.07755742088639067,2.537192533738915e-62,286.1662023398746,302.3248252983668,16.15862295849223,12667
4.149999999999999,0.47500000000000003,0.12704394755674148,1.6421326332399035e-167,313.42148720832546,302.3248252983668,11.096661909958641,12720
4.159999999999998,0.465,0.191746042121412,0.0,356.82429753998247,302.3248252983668,54.49947224161565,12608
4.159999999999998,0.47000000000000003,0.15492667512669756,2.7086107701920566e-246,343.28691771992413,302.3248252983668,40.962092421557315,12554
4.159999999999998,0.47500000000000003,0.1666771708012449,3.7138358529059033e-283,386.08887596332085,302.3248252983668,83.76405066495403,12455
