Patient ID,Queue Length,Time
,0,0.0
,0,60.0
,0,120.0
,0,180.0
,0,240.0
,0,300.0
,0,360.0
,0,420.0
,1,480.0
,3,540.0
,9,600.0
,10,660.0
,10,720.0
,16,780.0
,28,840.0
,30,900.0
,31,960.0
,33,1020.0
,33,1080.0
,35,1140.0
,38,1200.0
,39,1260.0
,40,1320.0
,40,1380.0
,40,1440.0
,38,1500.0
,39,1560.0
,39,1620.0
,39,1680.0
,38,1740.0
,37,1800.0
,38,1860.0
,41,1920.0
,40,1980.0
,39,2040.0
,46,2100.0
,43,2160.0
,46,2220.0
,48,2280.0
,50,2340.0
,55,2400.0
,60,2460.0
,63,2520.0
,61,2580.0
,58,2640.0
,61,2700.0
,62,2760.0
,63,2820.0
,60,2880.0
,59,2940.0
,57,3000.0
,55,3060.0
,56,3120.0
,57,3180.0
,56,3240.0
,57,3300.0
,57,3360.0
,57,3420.0
,59,3480.0
,62,3540.0
,64,3600.0
,65,3660.0
,73,3720.0
,75,3780.0
,77,3840.0
,78,3900.0
,76,3960.0
,81,4020.0
,86,4080.0
,91,4140.0
,90,4200.0
,88,4260.0
,86,4320.0
,84,4380.0
,87,4440.0
,84,4500.0
,84,4560.0
,82,4620.0
,80,4680.0
,81,4740.0
,82,4800.0
,84,4860.0
,85,4920.0
,87,4980.0
,92,5040.0
,93,5100.0
,95,5160.0
,96,5220.0
,98,5280.0
,103,5340.0
,103,5400.0
,101,5460.0
,103,5520.0
,104,5580.0
,107,5640.0
,104,5700.0
,108,5760.0
,105,5820.0
,104,5880.0
,101,5940.0
,103,6000.0
,102,6060.0
,102,6120.0
,102,6180.0
,103,6240.0
,104,6300.0
,106,6360.0
,108,6420.0
,108,6480.0
,110,6540.0
,113,6600.0
,112,6660.0
,113,6720.0
,111,6780.0
,111,6840.0
,121,6900.0
,122,6960.0
,123,7020.0
,116,7080.0
,115,7140.0
,115,7200.0
,114,7260.0
,113,7320.0
,111,7380.0
,109,7440.0
,108,7500.0
,108,7560.0
,109,7620.0
,111,7680.0
,110,7740.0
,111,7800.0
,109,7860.0
,108,7920.0
,107,7980.0
,107,8040.0
,108,8100.0
,107,8160.0
,104,8220.0
,108,8280.0
,108,8340.0
,110,8400.0
,110,8460.0
,108,8520.0
,105,8580.0
,103,8640.0
,105,8700.0
,105,8760.0
,101,8820.0
,99,8880.0
,101,8940.0
,100,9000.0
,97,9060.0
,97,9120.0
,97,9180.0
,97,9240.0
,99,9300.0
,101,9360.0
,103,9420.0
,105,9480.0
,105,9540.0
,102,9600.0
,102,9660.0
,103,9720.0
,97,9780.0
,95,9840.0
,95,9900.0
,94,9960.0
,95,10020.0
,97,10080.0
,98,10140.0
,99,10200.0
,97,10260.0
,96,10320.0
,95,10380.0
,94,10440.0
,92,10500.0
,93,10560.0
,94,10620.0
,94,10680.0
,95,10740.0
,97,10800.0
,101,10860.0
,100,10920.0
,100,10980.0
,101,11040.0
,103,11100.0
,102,11160.0
,100,11220.0
,101,11280.0
,107,11340.0
,108,11400.0
,110,11460.0
,109,11520.0
,109,11580.0
,107,11640.0
,103,11700.0
,103,11760.0
,102,11820.0
,102,11880.0
,104,11940.0
,103,12000.0
,101,12060.0
,101,12120.0
,101,12180.0
,102,12240.0
,104,12300.0
,107,12360.0
,103,12420.0
,103,12480.0
,103,12540.0
,108,12600.0
,111,12660.0
,113,12720.0
,116,12780.0
,114,12840.0
,112,12900.0
,109,12960.0
,107,13020.0
,107,13080.0
,103,13140.0
,104,13200.0
,106,13260.0
,105,13320.0
,105,13380.0
,106,13440.0
,102,13500.0
,105,13560.0
,103,13620.0
,103,13680.0
,104,13740.0
,101,13800.0
,102,13860.0
,102,13920.0
,98,13980.0
,96,14040.0
,100,14100.0
,105,14160.0
,108,14220.0
,109,14280.0
,110,14340.0
,108,14400.0
,107,14460.0
,105,14520.0
,105,14580.0
,103,14640.0
,101,14700.0
,101,14760.0
,102,14820.0
,102,14880.0
,106,14940.0
,108,15000.0
,105,15060.0
,110,15120.0
,113,15180.0
,114,15240.0
,115,15300.0
,120,15360.0
,120,15420.0
,123,15480.0
,123,15540.0
,121,15600.0
,123,15660.0
,126,15720.0
,122,15780.0
,122,15840.0
,120,15900.0
,119,15960.0
,118,16020.0
,119,16080.0
,118,16140.0
,119,16200.0
,121,16260.0
,123,16320.0
,122,16380.0
,121,16440.0
,124,16500.0
,129,16560.0
,135,16620.0
,135,16680.0
,135,16740.0
,137,16800.0
,139,16860.0
,137,16920.0
,134,16980.0
,133,17040.0
,131,17100.0
,132,17160.0
,133,17220.0
,131,17280.0
,133,17340.0
,134,17400.0
,132,17460.0
,133,17520.0
,133,17580.0
,132,17640.0
,130,17700.0
,128,17760.0
,126,17820.0
,126,17880.0
,126,17940.0
,127,18000.0
,132,18060.0
,134,18120.0
,135,18180.0
,138,18240.0
,137,18300.0
,135,18360.0
,136,18420.0
,135,18480.0
,138,18540.0
,136,18600.0
,136,18660.0
,136,18720.0
,134,18780.0
,137,18840.0
,137,18900.0
,137,18960.0
,136,19020.0
,137,19080.0
,138,19140.0
,140,19200.0
,140,19260.0
,146,19320.0
,149,19380.0
,152,19440.0
,154,19500.0
,158,19560.0
,156,19620.0
,159,19680.0
,155,19740.0
,155,19800.0
,158,19860.0
,158,19920.0
,156,19980.0
,159,20040.0
,156,20100.0
,154,20160.0
,152,20220.0
,152,20280.0
,151,20340.0
,151,20400.0
,150,20460.0
,150,20520.0
,149,20580.0
,149,20640.0
,146,20700.0
,148,20760.0
,149,20820.0
,150,20880.0
,154,20940.0
,161,21000.0
,164,21060.0
,171,21120.0
,173,21180.0
,173,21240.0
,182,21300.0
,177,21360.0
,181,21420.0
,183,21480.0
,179,21540.0
