Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,0
240,4,0
300,5,0
360,6,0
420,7,0
480,8,0
540,9,0
600,10,0
660,11,0
720,12,0
780,13,1
840,14,3
900,15,2
960,16,3
1020,17,4
1080,18,6
1140,19,11
1200,20,12
1260,21,17
1320,22,19
1380,23,19
1440,0,18
1500,1,20
1560,2,18
1620,3,21
1680,4,21
1740,5,25
1800,6,25
1860,7,27
1920,8,28
1980,9,28
2040,10,28
2100,11,26
2160,12,25
2220,13,24
2280,14,24
2340,15,24
2400,16,23
2460,17,24
2520,18,25
2580,19,29
2640,20,29
2700,21,31
2760,22,33
2820,23,27
2880,0,28
2940,1,25
3000,2,25
3060,3,26
3120,4,27
3180,5,30
3240,6,30
3300,7,32
3360,8,32
3420,9,33
3480,10,31
3540,11,31
3600,12,32
3660,13,32
3720,14,32
3780,15,34
3840,16,33
3900,17,33
3960,18,35
4020,19,36
4080,20,40
4140,21,41
4200,22,43
4260,23,42
4320,0,43
4380,1,40
4440,2,43
4500,3,44
4560,4,44
4620,5,45
4680,6,42
4740,7,43
4800,8,43
4860,9,43
4920,10,42
4980,11,39
5040,12,39
5100,13,38
5160,14,38
5220,15,38
5280,16,38
5340,17,36
5400,18,35
5460,19,36
5520,20,40
5580,21,43
5640,22,46
5700,23,46
5760,0,47
5820,1,43
5880,2,40
5940,3,39
6000,4,39
6060,5,40
6120,6,43
6180,7,40
6240,8,39
6300,9,39
6360,10,36
6420,11,34
6480,12,33
6540,13,35
6600,14,32
6660,15,35
6720,16,34
6780,17,35
6840,18,37
6900,19,38
6960,20,39
7020,21,44
7080,22,41
7140,23,42
7200,0,38
7260,1,41
7320,2,42
7380,3,44
7440,4,45
7500,5,38
7560,6,38
7620,7,39
7680,8,38
7740,9,39
7800,10,36
7860,11,35
7920,12,33
7980,13,35
8040,14,37
8100,15,38
8160,16,38
8220,17,34
8280,18,35
8340,19,37
8400,20,40
8460,21,45
8520,22,46
8580,23,45
8640,0,46
8700,1,34
8760,2,35
8820,3,36
8880,4,38
8940,5,38
9000,6,40
9060,7,38
9120,8,36
9180,9,36
9240,10,34
9300,11,31
9360,12,31
9420,13,30
9480,14,29
9540,15,28
9600,16,27
9660,17,28
9720,18,29
9780,19,29
9840,20,26
9900,21,28
9960,22,27
10020,23,29
10080,0,28
10140,1,31
10200,2,30
10260,3,31
10320,4,30
10380,5,31
10440,6,31
10500,7,33
10560,8,33
10620,9,34
10680,10,33
10740,11,32
10800,12,31
10860,13,30
10920,14,30
10980,15,29
11040,16,27
11100,17,27
11160,18,28
11220,19,24
11280,20,26
11340,21,28
11400,22,32
11460,23,31
11520,0,27
11580,1,29
11640,2,29
11700,3,30
11760,4,27
11820,5,25
11880,6,25
11940,7,27
12000,8,28
12060,9,26
12120,10,27
12180,11,24
12240,12,23
12300,13,23
12360,14,23
12420,15,20
12480,16,21
12540,17,20
12600,18,21
12660,19,23
12720,20,27
12780,21,30
12840,22,31
12900,23,33
12960,0,32
13020,1,31
13080,2,23
13140,3,20
13200,4,21
13260,5,21
13320,6,23
13380,7,25
13440,8,26
13500,9,25
13560,10,24
13620,11,23
13680,12,21
13740,13,25
13800,14,22
13860,15,22
13920,16,20
13980,17,21
14040,18,16
14100,19,18
14160,20,20
14220,21,25
14280,22,28
14340,23,28
14400,0,30
14460,1,28
14520,2,30
14580,3,30
14640,4,30
14700,5,28
14760,6,29
14820,7,29
14880,8,26
14940,9,26
15000,10,24
15060,11,24
15120,12,22
15180,13,21
15240,14,19
15300,15,19
15360,16,20
15420,17,21
15480,18,19
15540,19,23
15600,20,25
15660,21,29
15720,22,31
15780,23,31
15840,0,31
15900,1,33
15960,2,32
16020,3,29
16080,4,32
16140,5,32
16200,6,34
16260,7,36
16320,8,35
16380,9,37
16440,10,36
16500,11,34
16560,12,34
16620,13,35
16680,14,35
16740,15,35
16800,16,33
16860,17,32
16920,18,30
16980,19,29
17040,20,29
17100,21,30
17160,22,32
17220,23,28
17280,0,30
17340,1,26
17400,2,28
17460,3,27
17520,4,28
17580,5,29
17640,6,32
17700,7,33
17760,8,33
17820,9,33
17880,10,32
17940,11,32
18000,12,31
18060,13,33
18120,14,30
18180,15,31
18240,16,33
18300,17,32
18360,18,34
18420,19,37
18480,20,38
18540,21,43
18600,22,44
18660,23,46
18720,0,46
18780,1,45
18840,2,48
18900,3,47
18960,4,49
19020,5,49
19080,6,50
19140,7,51
19200,8,49
19260,9,48
19320,10,48
19380,11,47
19440,12,44
19500,13,44
19560,14,43
19620,15,41
19680,16,41
19740,17,43
19800,18,42
19860,19,44
19920,20,45
19980,21,47
20040,22,45
20100,23,46
20160,0,46
20220,1,47
20280,2,48
20340,3,46
20400,4,47
20460,5,46
20520,6,49
20580,7,48
20640,8,47
20700,9,47
20760,10,45
20820,11,43
20880,12,41
20940,13,41
21000,14,40
21060,15,41
21120,16,41
21180,17,41
21240,18,42
21300,19,44
21360,20,47
21420,21,49
21480,22,50
21540,23,49
