Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,0
240,4,0
300,5,2
360,6,3
420,7,4
480,8,5
540,9,3
600,10,0
660,11,0
720,12,0
780,13,0
840,14,0
900,15,1
960,16,3
1020,17,3
1080,18,3
1140,19,6
1200,20,6
1260,21,11
1320,22,14
1380,23,12
1440,0,14
1500,1,10
1560,2,13
1620,3,14
1680,4,15
1740,5,13
1800,6,17
1860,7,17
1920,8,19
1980,9,19
2040,10,16
2100,11,14
2160,12,14
2220,13,14
2280,14,15
2340,15,15
2400,16,14
2460,17,15
2520,18,17
2580,19,16
2640,20,19
2700,21,22
2760,22,24
2820,23,25
2880,0,23
2940,1,20
3000,2,21
3060,3,22
3120,4,23
3180,5,23
3240,6,25
3300,7,26
3360,8,25
3420,9,22
3480,10,20
3540,11,18
3600,12,18
3660,13,20
3720,14,18
3780,15,17
3840,16,17
3900,17,17
3960,18,17
4020,19,19
4080,20,23
4140,21,27
4200,22,29
4260,23,28
4320,0,25
4380,1,25
4440,2,24
4500,3,24
4560,4,27
4620,5,28
4680,6,29
4740,7,27
4800,8,29
4860,9,26
4920,10,25
4980,11,23
5040,12,24
5100,13,22
5160,14,21
5220,15,22
5280,16,18
5340,17,19
5400,18,20
5460,19,22
5520,20,23
5580,21,30
5640,22,31
5700,23,28
5760,0,27
5820,1,23
5880,2,23
5940,3,27
6000,4,27
6060,5,30
6120,6,30
6180,7,30
6240,8,29
6300,9,30
6360,10,28
6420,11,26
6480,12,25
6540,13,23
6600,14,21
6660,15,23
6720,16,23
6780,17,23
6840,18,20
6900,19,22
6960,20,23
7020,21,26
7080,22,29
7140,23,24
7200,0,25
7260,1,24
7320,2,26
7380,3,24
7440,4,23
7500,5,23
7560,6,26
7620,7,28
7680,8,28
7740,9,27
7800,10,25
7860,11,25
7920,12,24
7980,13,22
8040,14,23
8100,15,23
8160,16,21
8220,17,18
8280,18,18
8340,19,19
8400,20,19
8460,21,21
8520,22,21
8580,23,19
8640,0,18
8700,1,17
8760,2,17
8820,3,17
8880,4,19
8940,5,18
9000,6,19
9060,7,19
9120,8,22
9180,9,22
9240,10,21
9300,11,19
9360,12,18
9420,13,15
9480,14,17
9540,15,16
9600,16,17
9660,17,17
9720,18,19
9780,19,21
9840,20,21
9900,21,25
9960,22,29
10020,23,28
10080,0,30
10140,1,32
10200,2,34
10260,3,34
10320,4,37
10380,5,38
10440,6,40
10500,7,41
10560,8,38
10620,9,38
10680,10,36
10740,11,35
10800,12,33
10860,13,34
10920,14,33
10980,15,32
11040,16,32
11100,17,31
11160,18,32
11220,19,36
11280,20,39
11340,21,39
11400,22,42
11460,23,41
11520,0,42
11580,1,36
11640,2,35
11700,3,36
11760,4,36
11820,5,37
11880,6,38
11940,7,39
12000,8,39
12060,9,38
12120,10,37
12180,11,35
12240,12,37
12300,13,36
12360,14,38
12420,15,39
12480,16,39
12540,17,37
12600,18,39
12660,19,39
12720,20,42
12780,21,43
12840,22,44
12900,23,43
12960,0,44
13020,1,43
13080,2,45
13140,3,44
13200,4,44
13260,5,42
13320,6,43
13380,7,44
13440,8,45
13500,9,44
13560,10,43
13620,11,41
13680,12,39
13740,13,38
13800,14,39
13860,15,39
13920,16,39
13980,17,38
14040,18,38
14100,19,42
14160,20,42
14220,21,46
14280,22,48
14340,23,45
14400,0,46
14460,1,43
14520,2,43
14580,3,47
14640,4,47
14700,5,48
14760,6,48
14820,7,49
14880,8,50
14940,9,49
15000,10,47
15060,11,47
15120,12,46
15180,13,45
15240,14,45
15300,15,45
15360,16,47
15420,17,46
15480,18,47
15540,19,49
15600,20,51
15660,21,56
15720,22,57
15780,23,59
15840,0,54
15900,1,56
15960,2,54
16020,3,55
16080,4,53
16140,5,55
16200,6,57
16260,7,59
16320,8,58
16380,9,59
16440,10,58
16500,11,55
16560,12,55
16620,13,54
16680,14,52
16740,15,54
16800,16,56
16860,17,54
16920,18,55
16980,19,54
17040,20,55
17100,21,58
17160,22,59
17220,23,61
17280,0,60
17340,1,50
17400,2,53
17460,3,50
17520,4,54
17580,5,56
17640,6,56
17700,7,58
17760,8,58
17820,9,56
17880,10,54
17940,11,53
18000,12,51
18060,13,50
18120,14,50
18180,15,51
18240,16,51
18300,17,51
18360,18,54
18420,19,56
18480,20,60
18540,21,65
18600,22,69
18660,23,66
18720,0,68
18780,1,61
18840,2,64
18900,3,64
18960,4,66
19020,5,66
19080,6,69
19140,7,70
19200,8,69
19260,9,69
19320,10,67
19380,11,65
19440,12,65
19500,13,65
19560,14,65
19620,15,67
19680,16,67
19740,17,68
19800,18,70
19860,19,75
19920,20,76
19980,21,81
20040,22,83
20100,23,82
20160,0,84
20220,1,84
20280,2,85
20340,3,86
20400,4,86
20460,5,85
20520,6,86
20580,7,88
20640,8,88
20700,9,89
20760,10,88
20820,11,85
20880,12,84
20940,13,82
21000,14,83
21060,15,81
21120,16,81
21180,17,80
21240,18,78
21300,19,78
21360,20,82
21420,21,86
21480,22,88
21540,23,88
