hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number,Scenario,DT Threshold
0,0.0,0.003019875151868392,55.577410740891594,1896.9809332929474,3166.2127444806706,0.016666666666666666,0.0,892.195440047803,0.21666666666666667,0.2,10,alt_dt_0.70,0.7
1,0.0,0.6947232249573858,36.50313531054935,1683.6201193104446,2520.5256365321793,0.2653061224489796,0.0,755.0091973844067,0.1836734693877551,0.16326530612244897,10,alt_dt_0.70,0.7
2,0.0,0.0,29.125577431947477,1513.7402109013026,3086.088361419739,0.3225806451612903,0.0,431.94170254977416,0.12903225806451613,0.0967741935483871,10,alt_dt_0.70,0.7
3,0.0,0.0,31.870587070584953,1903.3677161973187,4006.777542542249,0.3611111111111111,0.0,682.4997913335251,0.1388888888888889,0.1111111111111111,10,alt_dt_0.70,0.7
4,0.0,0.5263215852868749,11.27883324139423,1754.0974478984838,3002.5898492621054,0.36666666666666664,0.0,864.5434305377256,0.23333333333333334,0.23333333333333334,10,alt_dt_0.70,0.7
5,0.0,0.0,34.33217978846278,1506.1880355972635,3181.793161028405,0.6842105263157895,0.0,618.4769594382107,0.15789473684210525,0.15789473684210525,10,alt_dt_0.70,0.7
6,0.0,0.0,55.48771455109818,1672.354332126726,2898.709220636644,0.45652173913043476,0.0,607.2910247146618,0.13043478260869565,0.13043478260869565,10,alt_dt_0.70,0.7
7,0.0,2.8309025869411926,48.57698961913723,1617.6971491437037,3326.6328456916617,0.3076923076923077,0.3114754098360656,833.8184736229197,0.2153846153846154,0.2,10,alt_dt_0.70,0.7
8,0.0,0.8861056387499637,20.94761437070963,1625.0496772432082,2748.978258498464,0.4,0.23853211009174313,353.38578728417605,0.1,0.09166666666666666,10,alt_dt_0.70,0.7
9,0.0,1.1389636243497483,58.28171571647087,1664.8120461249991,2948.580894273637,0.4189189189189189,0.05263157894736842,745.0188594096237,0.1891891891891892,0.18243243243243243,10,alt_dt_0.70,0.7
10,0.0,4.6236724011935655,20.360001570815772,1684.8563892594834,2775.4587432247667,0.37254901960784315,0.057803468208092484,545.4224951359754,0.15196078431372548,0.11764705882352941,10,alt_dt_0.70,0.7
11,0.0,21.544250315226833,37.082293273307016,1749.0053123082928,2988.594322782437,0.43434343434343436,0.024390243902439025,577.2227253549108,0.1414141414141414,0.1111111111111111,10,alt_dt_0.70,0.7
12,0.0,15.0317667981864,49.632103023069966,1767.8904684716722,2725.799388472472,0.42780748663101603,0.044585987261146494,723.9642879686729,0.18181818181818182,0.15508021390374332,10,alt_dt_0.70,0.7
13,0.0,4.066321167437335,20.451401322089765,1770.4041352324311,3333.4478956715498,0.42011834319526625,0.07042253521126761,829.2377620641082,0.17159763313609466,0.15976331360946747,10,alt_dt_0.70,0.7
14,0.0,0.5506970593191144,60.843410132012195,1872.0072379471749,3150.2474164172736,0.46,0.03875968992248062,563.592546156892,0.12666666666666668,0.12,10,alt_dt_0.70,0.7
15,0.0,5.7419372028609965,36.96308467318403,1844.4565235235941,3152.85740885126,0.38461538461538464,0.02027027027027027,681.0620864236482,0.15384615384615385,0.13186813186813187,10,alt_dt_0.70,0.7
16,0.0,6.125987541137359,31.538514911560316,1823.2706908450334,3417.328576534297,0.40229885057471265,0.028169014084507043,625.2919160890633,0.13793103448275862,0.11494252873563218,10,alt_dt_0.70,0.7
17,0.0,4.365906634746583,37.19114377376179,1862.9747251115293,3388.552110092231,0.4678362573099415,0.02142857142857143,572.6109815793357,0.11695906432748537,0.1111111111111111,10,alt_dt_0.70,0.7
18,0.0,5.413501352147775,21.559613065546916,1863.2716305680951,3184.8878147971313,0.4326241134751773,0.0,647.8824568520242,0.14184397163120568,0.1347517730496454,10,alt_dt_0.70,0.7
19,0.0,3.5336554107928086,50.51454606254643,2022.2872149746881,3556.348807619761,0.4186046511627907,0.0,599.0198179086905,0.10852713178294573,0.10852713178294573,10,alt_dt_0.70,0.7
20,0.0,0.21690870930541023,13.276801982480569,1902.2016865008825,3601.742520928029,0.362962962962963,0.0,567.4382217965044,0.1259259259259259,0.1111111111111111,10,alt_dt_0.70,0.7
21,0.0,2.4328762420594883,33.75580571472919,1924.758002860569,3711.673284538771,0.41818181818181815,0.0,463.69938913296454,0.1,0.09090909090909091,10,alt_dt_0.70,0.7
22,0.0,0.0,30.707820518541098,1900.1101474343923,3829.293233408882,0.36,0.0,468.9051848075764,0.09333333333333334,0.06666666666666667,10,alt_dt_0.70,0.7
23,0.0,0.0,44.0861298609396,1868.8265990638338,2732.4901381907425,0.4727272727272727,0.0,563.8987747334613,0.12727272727272726,0.09090909090909091,10,alt_dt_0.70,0.7
