Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,0
240,4,0
300,5,0
360,6,0
420,7,0
480,8,0
540,9,0
600,10,0
660,11,0
720,12,0
780,13,1
840,14,0
900,15,1
960,16,2
1020,17,2
1080,18,3
1140,19,2
1200,20,3
1260,21,6
1320,22,6
1380,23,7
1440,0,1
1500,1,1
1560,2,0
1620,3,2
1680,4,2
1740,5,3
1800,6,6
1860,7,9
1920,8,8
1980,9,8
2040,10,6
2100,11,5
2160,12,5
2220,13,4
2280,14,5
2340,15,4
2400,16,4
2460,17,5
2520,18,5
2580,19,5
2640,20,6
2700,21,11
2760,22,14
2820,23,15
2880,0,14
2940,1,4
3000,2,6
3060,3,6
3120,4,8
3180,5,9
3240,6,11
3300,7,11
3360,8,12
3420,9,11
3480,10,9
3540,11,7
3600,12,9
3660,13,8
3720,14,10
3780,15,10
3840,16,11
3900,17,12
3960,18,13
4020,19,13
4080,20,17
4140,21,20
4200,22,21
4260,23,19
4320,0,17
4380,1,16
4440,2,18
4500,3,18
4560,4,18
4620,5,19
4680,6,20
4740,7,22
4800,8,20
4860,9,20
4920,10,18
4980,11,18
5040,12,17
5100,13,18
5160,14,17
5220,15,21
5280,16,21
5340,17,22
5400,18,23
5460,19,26
5520,20,26
5580,21,28
5640,22,30
5700,23,30
5760,0,22
5820,1,23
5880,2,25
5940,3,25
6000,4,20
6060,5,22
6120,6,23
6180,7,23
6240,8,25
6300,9,25
6360,10,23
6420,11,22
6480,12,23
6540,13,24
6600,14,23
6660,15,23
6720,16,22
6780,17,22
6840,18,21
6900,19,22
6960,20,25
7020,21,27
7080,22,30
7140,23,29
7200,0,31
7260,1,23
7320,2,25
7380,3,23
7440,4,25
7500,5,26
7560,6,27
7620,7,29
7680,8,30
7740,9,29
7800,10,25
7860,11,22
7920,12,20
7980,13,19
8040,14,20
8100,15,20
8160,16,18
8220,17,20
8280,18,20
8340,19,22
8400,20,25
8460,21,26
8520,22,28
8580,23,28
8640,0,21
8700,1,21
8760,2,22
8820,3,20
8880,4,23
8940,5,21
9000,6,23
9060,7,22
9120,8,21
9180,9,20
9240,10,18
9300,11,16
9360,12,15
9420,13,14
9480,14,18
9540,15,15
9600,16,16
9660,17,15
9720,18,15
9780,19,13
9840,20,13
9900,21,18
9960,22,21
10020,23,20
10080,0,21
10140,1,22
10200,2,22
10260,3,23
10320,4,24
10380,5,22
10440,6,24
10500,7,25
10560,8,24
10620,9,24
10680,10,22
10740,11,21
10800,12,19
10860,13,20
10920,14,20
10980,15,19
11040,16,19
11100,17,19
11160,18,20
11220,19,23
11280,20,22
11340,21,27
11400,22,31
11460,23,29
11520,0,30
11580,1,29
11640,2,29
11700,3,30
11760,4,32
11820,5,34
11880,6,33
11940,7,35
12000,8,34
12060,9,35
12120,10,33
12180,11,32
12240,12,32
12300,13,33
12360,14,33
12420,15,38
12480,16,37
12540,17,37
12600,18,37
12660,19,40
12720,20,40
12780,21,43
12840,22,45
12900,23,46
12960,0,44
13020,1,44
13080,2,47
13140,3,48
13200,4,50
13260,5,54
13320,6,56
13380,7,56
13440,8,60
13500,9,58
13560,10,57
13620,11,55
13680,12,56
13740,13,56
13800,14,57
13860,15,56
13920,16,54
13980,17,53
14040,18,55
14100,19,57
14160,20,59
14220,21,63
14280,22,64
14340,23,55
14400,0,49
14460,1,48
14520,2,47
14580,3,40
14640,4,39
14700,5,40
14760,6,41
14820,7,43
14880,8,43
14940,9,43
15000,10,41
15060,11,40
15120,12,40
15180,13,42
15240,14,42
15300,15,42
15360,16,44
15420,17,45
15480,18,47
15540,19,49
15600,20,49
15660,21,51
15720,22,52
15780,23,51
15840,0,54
15900,1,55
15960,2,58
16020,3,58
16080,4,59
16140,5,60
16200,6,61
16260,7,60
16320,8,58
16380,9,57
16440,10,56
16500,11,54
16560,12,53
16620,13,53
16680,14,53
16740,15,53
16800,16,52
16860,17,53
16920,18,55
16980,19,54
17040,20,55
17100,21,58
17160,22,60
17220,23,60
17280,0,58
17340,1,59
17400,2,60
17460,3,62
17520,4,62
17580,5,63
17640,6,66
17700,7,65
17760,8,66
17820,9,65
17880,10,63
17940,11,63
18000,12,62
18060,13,61
18120,14,62
18180,15,62
18240,16,63
18300,17,63
18360,18,65
18420,19,65
18480,20,66
18540,21,71
18600,22,72
18660,23,73
18720,0,74
18780,1,75
18840,2,76
18900,3,77
18960,4,80
19020,5,80
19080,6,81
19140,7,80
19200,8,81
19260,9,81
19320,10,78
19380,11,78
19440,12,77
19500,13,77
19560,14,77
19620,15,76
19680,16,77
19740,17,77
19800,18,76
19860,19,75
19920,20,75
19980,21,78
20040,22,81
20100,23,81
20160,0,81
20220,1,81
20280,2,83
20340,3,82
20400,4,84
20460,5,82
20520,6,84
20580,7,85
20640,8,86
20700,9,84
20760,10,84
20820,11,82
20880,12,83
20940,13,83
21000,14,83
21060,15,83
21120,16,83
21180,17,85
21240,18,86
21300,19,90
21360,20,90
21420,21,95
21480,22,97
21540,23,89
