hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number,Scenario,DT Threshold
0,0.0,0.5240936234499208,43.703064754516284,1696.6809793171828,3635.7901755079233,0.019230769230769232,0.0,1070.1475112460935,0.21153846153846154,0.21153846153846154,5,alt_dt_0.70,0.7
1,0.0,0.0,48.25807199843277,1564.5633165289064,3540.698983588798,0.5306122448979592,0.0,782.1833175877936,0.1836734693877551,0.1836734693877551,5,alt_dt_0.70,0.7
2,0.0,0.0,48.1228792478787,1595.9957809172531,4139.706250073014,0.4074074074074074,0.0,593.9861106526959,0.1111111111111111,0.1111111111111111,5,alt_dt_0.70,0.7
3,0.0,0.0,21.428749467239868,1505.4816871878436,2554.866693399749,0.48,0.0,852.7744424007539,0.2,0.2,5,alt_dt_0.70,0.7
4,0.0,0.0,30.63030103824167,1659.6686176850042,4308.628284336234,0.3793103448275862,0.0,800.4317851217281,0.13793103448275862,0.13793103448275862,5,alt_dt_0.70,0.7
5,0.0,0.0,76.12049016262216,1567.7847719276167,2405.156576943573,0.47619047619047616,0.0,861.263091343036,0.3333333333333333,0.2857142857142857,5,alt_dt_0.70,0.7
6,0.0,0.0,40.94216645020551,1557.184557428117,3022.0185214465123,0.35294117647058826,0.0,1038.720050327057,0.23529411764705882,0.20588235294117646,5,alt_dt_0.70,0.7
7,0.0,0.8430300210239542,31.233643438548338,1581.2779070975619,2750.713346351422,0.4153846153846154,0.4,572.2046354971961,0.13846153846153847,0.13846153846153847,5,alt_dt_0.70,0.7
8,0.0,0.0,36.06950562062143,1483.6726193060265,3405.1579609323567,0.4017094017094017,0.16071428571428573,589.9049010225799,0.1452991452991453,0.13675213675213677,5,alt_dt_0.70,0.7
9,0.0,2.180890117277025,34.75655334459373,1572.2382972661944,2583.4875345061164,0.41237113402061853,0.011494252873563218,555.886035963968,0.13402061855670103,0.11855670103092783,5,alt_dt_0.70,0.7
10,0.0,4.682487837591144,51.241153716148254,1608.3738408304705,2762.0869752773815,0.4319526627218935,0.05405405405405406,607.1987542368189,0.13609467455621302,0.11834319526627218,5,alt_dt_0.70,0.7
11,0.0,27.96517020166628,43.828761275529814,1593.6202107913666,2658.3582068858195,0.42857142857142855,0.02717391304347826,650.7567935203679,0.16517857142857142,0.125,5,alt_dt_0.70,0.7
12,0.0,20.600754922814136,44.32488291301706,1640.128247362812,2838.8287275278053,0.44148936170212766,0.03424657534246575,737.0469105881899,0.18617021276595744,0.13829787234042554,5,alt_dt_0.70,0.7
13,0.0,8.301955292145099,53.905217964359814,1524.4936880529026,2567.3873403566627,0.3803680981595092,0.023076923076923078,578.7152774395878,0.15337423312883436,0.12269938650306748,5,alt_dt_0.70,0.7
14,0.0,2.5737770933983146,41.81423378789761,1615.8882128182972,2807.0138530116037,0.34394904458598724,0.03759398496240601,630.933502863926,0.16560509554140126,0.12738853503184713,5,alt_dt_0.70,0.7
15,0.0,14.108453826434422,43.29634127951982,1734.5240576013555,3165.9861164183453,0.45989304812834225,0.018633540372670808,494.1427016437016,0.0962566844919786,0.0855614973262032,5,alt_dt_0.70,0.7
16,0.0,14.999870234806192,17.49117311794629,1620.5198304164699,2639.482343320562,0.4098360655737705,0.013157894736842105,422.10300412296135,0.1092896174863388,0.07650273224043716,5,alt_dt_0.70,0.7
17,0.0,18.997019807896308,34.73310104726592,1696.861514524648,3222.8744151516003,0.4585635359116022,0.025477707006369428,553.0222870884791,0.143646408839779,0.11049723756906077,5,alt_dt_0.70,0.7
18,0.0,11.23731350449172,49.167153682915604,1691.0835783319255,3582.4388816230435,0.40131578947368424,0.0,763.8976115863222,0.15789473684210525,0.13815789473684212,5,alt_dt_0.70,0.7
19,0.0,15.275013003517866,43.47201419606825,1804.5921291537268,3200.466032410964,0.43661971830985913,0.0,480.305925418541,0.11971830985915492,0.09154929577464789,5,alt_dt_0.70,0.7
20,0.0,18.895535141228073,39.726220325865214,1692.2486603263803,3572.5689562647503,0.45714285714285713,0.0,573.6505868075967,0.10714285714285714,0.1,5,alt_dt_0.70,0.7
21,0.0,8.141168134302733,37.69143537637969,1757.9137879304137,3044.481941666599,0.37719298245614036,0.0,431.78496600255346,0.08771929824561403,0.07017543859649122,5,alt_dt_0.70,0.7
22,0.0,5.956770663324661,29.554299453839505,1730.5364975933833,3717.0605505412423,0.44871794871794873,0.0,687.9786983464289,0.14102564102564102,0.11538461538461539,5,alt_dt_0.70,0.7
23,0.0,1.8494903898590132,0.0,1758.7634335398104,3388.7790906670543,0.43283582089552236,0.0,679.4588957975011,0.1044776119402985,0.1044776119402985,5,alt_dt_0.70,0.7
